date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,203009000.0,259016000.0,112170000.0,52116000.0,38147000.0,113688000.0,7351000.0,15014000.0,1495000.0,-11755000.0,-19024000.0,-31597000.0,-40930000.0,-27881000.0,-29449000.0,-2342000.0,-9446000.0,-18171000.0,-21676000.0,-11401000.0,-10454000.0,-6712201.0,-2507764.0,735264.0,491124.0,-400000.0,-2000000.0,-3900000.0,-5100000.0,-6600000.0
,depreciationAndAmortization,20430000.0,14121000.0,11005000.0,6202000.0,3277000.0,2770000.0,2508000.0,2723000.0,4336000.0,3948000.0,4898000.0,5016000.0,6124000.0,3915000.0,2742000.0,1240000.0,1388000.0,1704000.0,1771000.0,2968000.0,1685000.0,1385988.0,876939.0,429612.0,349756.0,400000.0,300000.0,300000.0,600000.0,300000.0
,deferredIncomeTax,32953000.0,-7745000.0,42624000.0,25803000.0,22296000.0,-87094000.0,860000.0,755000.0,789000.0,970000.0,954000.0,721000.0,527000.0,475000.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,39781000.0,54494000.0,40353000.0,32866000.0,29053000.0,16520000.0,11218000.0,9501000.0,7773000.0,5421000.0,5365000.0,8834000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-67221000.0,161610000.0,152248000.0,15490000.0,61031000.0,93265000.0,-1994000.0,1425000.0,25730000.0,-2210000.0,-6306000.0,18883000.0,-31458000.0,45781000.0,-12638000.0,18188000.0,-25182000.0,-16185000.0,-24478000.0,-10999000.0,86853542.0,-7215750.0,16509923.0,115686.0,6434599.0,300000.0,-4800000.0,-8000000.0,-4300000.0,-700000.0
,accountsReceivables,5551000.0,-22023000.0,-15289000.0,-11550000.0,-10930000.0,-7970000.0,-1312000.0,-2586000.0,-5284000.0,-1923000.0,2210000.0,-2539000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-13237000.0,-37181000.0,-15686000.0,-12284000.0,-11473000.0,-6967000.0,-622000.0,-5315000.0,-6229000.0,-1508000.0,927000.0,-1598000.0,-11078000.0,-4095000.0,-177000.0,-1166000.0,198000.0,1377000.0,-689000.0,-128000.0,-650000.0,-568415.0,-858704.0,-167271.0,-244232.0,800000.0,-700000.0,-700000.0,300000.0,-100000.0
,accountsPayables,2581000.0,7976000.0,4412000.0,7565000.0,-2645000.0,3372000.0,-54000.0,1183000.0,287000.0,2480000.0,-1387000.0,-2402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,503978000.0,571199000.0,409589000.0,257341000.0,241851000.0,180820000.0,87555000.0,89549000.0,88124000.0,62394000.0,64604000.0,70910000.0,52027000.0,83485000.0,37704000.0,50342000.0,32154000.0,57336000.0,73521000.0,97999000.0,108998000.0,22144458.0,29360208.0,12850285.0,12734599.0,6300000.0,6000000.0,10800000.0,18800000.0,23100000.0
,otherNonCashItems,3533000.0,-915000.0,1337000.0,1590000.0,1053000.0,510000.0,0.0,0.0,3328000.0,2920000.0,3558000.0,1882000.0,11544000.0,6137000.0,371000.0,0.0,-156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,100000.0,100000.0,100000.0,3000000.0
,netCashProvidedByOperatingActivites,314920000.0,252197000.0,192546000.0,115116000.0,76795000.0,43290000.0,23466000.0,26399000.0,3634000.0,1574000.0,-7362000.0,-18305000.0,-28874000.0,-19820000.0,-9339000.0,-5164000.0,-10136000.0,-16184000.0,-20068000.0,-11959000.0,-7306000.0,-7430419.0,-687354.0,-236892.0,566908.0,900000.0,-3400000.0,-4300000.0,-3400000.0,-4000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-44006000.0,-44004000.0,-55863000.0,-50415000.0,-15624000.0,-5188000.0,-2761000.0,-2836000.0,-1745000.0,-1804000.0,-1800000.0,-3751000.0,-3829000.0,-2420000.0,-3064000.0,-697000.0,-429000.0,-840000.0,-1624000.0,-2555000.0,-1358000.0,-1551893.0,-15969977.0,-1594484.0,-322642.0,-100000.0,-200000.0,-300000.0,-100000.0,-200000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-16000000.0,0.0,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-632237000.0,-404337000.0,-331808000.0,-281400000.0,-261725000.0,-100508000.0,-87776000.0,-49429000.0,-24502000.0,-8004000.0,-11869000.0,-60180000.0,-66390000.0,-17663000.0,-29021000.0,-39520000.0,-38968000.0,-14648000.0,-38009000.0,-26991000.0,-8313000.0,-25548051.0,0.0,-35554.0,0.0,-1300000.0,-2900000.0,-4300000.0,0.0,0.0
,salesMaturitiesOfInvestments,550788000.0,331886000.0,206909000.0,205482000.0,219639000.0,71530000.0,68265000.0,42000000.0,8767000.0,7000000.0,17848000.0,37126000.0,34454000.0,35187000.0,42016000.0,42169000.0,10197000.0,30425000.0,14391000.0,29422000.0,12748000.0,40360661.0,0.0,0.0,2701323.0,0.0,6200000.0,4900000.0,0.0,5500000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,0.0,0.0,-5140000.0,0.0,0.0,-36000.0,-41000.0,-153000.0,0.0,0.0,0.0,0.0,-2540168.0,0.0,-770000.0,700000.0,0.0,100000.0,0.0,-100000.0
