date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5384000000.0,4570000000.0,5349000000.0,4858000000.0,5050000000.0,4833000000.0,4956000000.0,4659000000.0,4444000000.0,4283000000.0,4085000000.0,3193000000.0,3460000000.0,4096000000.0,3851000000.0,3199000000.0,2990000000.0,2403000000.0,1974000000.0,1430000000.0,1782000000.0,1763000000.0,1175000000.0,2121000000.0,1526000000.0,976000000.0,1322000000.0,1263000000.0
,depreciationAndAmortization,1911000000.0,1593000000.0,1488000000.0,1544000000.0,1474000000.0,1435000000.0,1408000000.0,1371000000.0,1288000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954000000.0,1089000000.0,1025000000.0,900000000.0,866000000.0,870000000.0,883000000.0,859000000.0,1101000000.0,1076000000.0
,deferredIncomeTax,-165000000.0,-273000000.0,-57000000.0,107000000.0,7000000.0,395000000.0,-146000000.0,-167000000.0,33000000.0,177000000.0,-170000000.0,701000000.0,118000000.0,11000000.0,-316000000.0,0.0,0.0,0.0,579000000.0,1000000.0,89000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-86000000.0
,stockBasedCompensation,262000000.0,278000000.0,302000000.0,324000000.0,298000000.0,276000000.0,280000000.0,240000000.0,223000000.0,253000000.0,274000000.0,217000000.0,202000000.0,228000000.0,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,458000000.0,-2716000000.0,-125000000.0,1083000000.0,1639000000.0,-1899000000.0,532000000.0,-2195000000.0,631000000.0,673000000.0,228000000.0,2139000000.0,-717000000.0,2853000000.0,-254000000.0,-772000000.0,11000000.0,1036000000.0,-185000000.0,162000000.0,-622000000.0,315000000.0,-253000000.0,-512000000.0,26000000.0,-652000000.0,242000000.0,-488000000.0
,accountsReceivables,165000000.0,345000000.0,-305000000.0,-245000000.0,-313000000.0,-58000000.0,-268000000.0,-337000000.0,-133000000.0,-205000000.0,-189000000.0,55000000.0,197000000.0,-35000000.0,-103000000.0,-184000000.0,56000000.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-91000000.0,370000000.0,-509000000.0,-387000000.0,57000000.0,3000000.0,-113000000.0,-86000000.0,-251000000.0,-196000000.0,-404000000.0,453000000.0,-127000000.0,-54000000.0,-309000000.0,-294000000.0,7000000.0,281000000.0,279000000.0,194000000.0,-261000000.0,96000000.0,195000000.0,-295000000.0,-75000000.0,-51000000.0,-302000000.0,-161000000.0
,accountsPayables,252000000.0,-117000000.0,408000000.0,24000000.0,148000000.0,9000000.0,75000000.0,16000000.0,72000000.0,-83000000.0,146000000.0,109000000.0,-224000000.0,-4000000.0,68000000.0,113000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,3749000000.0,6465000000.0,6590000000.0,5507000000.0,3868000000.0,5767000000.0,5235000000.0,7430000000.0,6799000000.0,6126000000.0,5898000000.0,3759000000.0,4476000000.0,1623000000.0,1877000000.0,2649000000.0,2638000000.0,1602000000.0,1787000000.0,1625000000.0,2247000000.0,1932000000.0,2185000000.0,2697000000.0,2671000000.0,3323000000.0,3081000000.0
,otherNonCashItems,242000000.0,-321000000.0,-250000000.0,-710000000.0,-419000000.0,-139000000.0,-38000000.0,-649000000.0,-1089000000.0,-139000000.0,279000000.0,-329000000.0,130000000.0,-105000000.0,252000000.0,250000000.0,-14000000.0,34000000.0,74000000.0,70000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,326000000.0
,netCashProvidedByOperatingActivites,8113000000.0,7070000000.0,6439000000.0,6240000000.0,6662000000.0,6420000000.0,6626000000.0,5817000000.0,5300000000.0,5284000000.0,5174000000.0,4941000000.0,4533000000.0,4275000000.0,3839000000.0,4258000000.0,4282000000.0,3773000000.0,2992000000.0,3078000000.0,2326000000.0,3038000000.0,2374000000.0,1706000000.0,2211000000.0,2260000000.0,1929000000.0,2091000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1501000000.0,-1699000000.0,-1577000000.0,-1373000000.0,-1420000000.0,-1461000000.0,-1493000000.0,-1665000000.0,-1484000000.0,-1379000000.0,-1091000000.0,-903000000.0,-1471000000.0,886000000.0,-1168000000.0,-943000000.0,-937000000.0,-677000000.0,-763000000.0,-980000000.0,-1115000000.0,-1039000000.0,-1430000000.0,-1406000000.0,-1109000000.0,-1088000000.0,-1148000000.0,-1112000000.0
,acquisitionsNet,551000000.0,-4748000000.0,859000000.0,-958000000.0,126000000.0,-2791000000.0,-94000000.0,8000000.0,-1046000000.0,-649000000.0,-1830000000.0,-69000000.0,-1306000000.0,358000000.0,321000000.0,-1293000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1579000000.0,-1635000000.0,-1828000000.0,-2152000000.0,-1410000000.0,-652000000.0,-1280000000.0,-4040000000.0,-5492000000.0,-4162000000.0,-3287000000.0,-2240000000.0,-2211000000.0,-8194000000.0,-3253000000.0,-1627000000.0,-10000000.0,-16000000.0,-7000000.0,-12000000.0,-12000000.0,-67000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,1811000000.0,1443000000.0,2497000000.0,1354000000.0,1247000000.0,1952000000.0,2034000000.0,4667000000.0,5281000000.0,3417000000.0,3560000000.0,1401000000.0,2502000000.0,6902000000.0,2591000000.0,1581000000.0,13000000.0,34000000.0,18000000.0,47000000.0,121000000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0
