date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,95634000000.0,113147000000.0,101548000000.0,106444000000.0,114763000000.0,87769000000.0,87228000000.0,76529000000.0,77025000000.0,74276000000.0,74475000000.0,84526000000.0,36442000000.0,37924224000.0,31185680000.0,24402980490.0,20042477840.0,18684360920.0,15992906760.0,12296578500.0,11458672876.86
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,43416000000.0,45622000000.0,43308000000.0,41067000000.0,40525000000.0,37420000000.0,34633000000.0,32339000000.0,30285000000.0,33506000000.0,28790000000.0,27042000000.0,15880000000.0,8136793600.0,7943562500.0,6180718530.0,5856568200.0,5002884780.0,4056633720.0,3504350700.0,3053498491.65
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237644793.64
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,40999000000.0,39863000000.0,49224000000.0,50343000000.0,45432000000.0,58038000000.0,48886000000.0,57566000000.0,66985000000.0,45925000000.0,45514000000.0,40473000000.0,20307000000.0,15635000000.0,10616000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,73558000000.0,75958000000.0,70612000000.0,78325000000.0,95126000000.0,75064000000.0,72977000000.0,46361000000.0,48067000000.0,55599000000.0,34824000000.0,31876000000.0,26508000000.0,12965455360.0,10912002500.0,8723522640.0,6579011080.0,6174263800.0,6913268460.0,4489005900.0,3831888729.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5064000000.0,4630000000.0,3332000000.0,3034000000.0,2994000000.0,2598000000.0,2468000000.0,2330000000.0,2190000000.0,2168000000.0,6068000000.0,4913000000.0,1957000000.0,1622017280.0,1209127500.0,1048410510.0,847276760.0,1113675620.0,704424180.0,664177800.0,0.0
