Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Depreciation & Amortization,,114000000.0,,92000000.0,,85000000.0,,70000000.0,61000000.0
Stock-based compensation,,93000000.0,,75000000.0,,57000000.0,,35000000.0,27000000.0
Operating Cash Flow,,,,,,,,,
Capital Expenditure,-134000000.0,,-167000000.0,,-87000000.0,,-53000000.0,,
Acquisitions and disposals,0.0,,0.0,,-32000000.0,,-115000000.0,,
Investment purchases and sales,,-1072000000,,-4728000000,,-8087000000,,-5943000000,-4435000000
Investing Cash flow,,-11062000000.0,,-14484000000.0,,-13331000000.0,,-10274000000.0,-6187000000.0
Issuance (repayment) of debt,,,,,,,,,
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,10465000000.0,10465000000.0,13661000000.0,13661000000.0,13455000000.0,13455000000.0,9997000000.0,9997000000.0,5680000000.0
Effect of forex changes on cash,,,,,,,,,
Net cash flow / Change in cash,514000000.0,514000000.0,189000000.0,189000000.0,977000000.0,977000000.0,314000000.0,314000000.0,9000000.0
Free Cash Flow,,,,,,,,,
Net Cash/Marketcap,,,,,,,,,
