date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-608000000.0,310600000.0,340100000.0,288800000.0,-153700000.0,19400000.0,198600000.0,117700000.0,272800000.0,158300000.0,-79900000.0,700000.0,26500000.0,96400000.0,93000000.0,64116000.0,7333000.0,-500000.0
,depreciationAndAmortization,278400000.0,203800000.0,199400000.0,153300000.0,116400000.0,134000000.0,111500000.0,89800000.0,82500000.0,74100000.0,61100000.0,52400000.0,40900000.0,38000000.0,27000000.0,18384000.0,13205000.0,7400000.0
,deferredIncomeTax,-32100000.0,62100000.0,-29000000.0,-49400000.0,-154400000.0,17400000.0,37000000.0,38900000.0,15100000.0,57700000.0,-4600000.0,39800000.0,10000000.0,10300000.0,22800000.0,8866000.0,3943000.0,0.0
,stockBasedCompensation,22800000.0,25800000.0,21400000.0,17500000.0,16400000.0,16800000.0,13900000.0,15000000.0,6200000.0,2700000.0,3100000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-145700000.0,-149400000.0,816700000.0,64000000.0,178500000.0,-52400000.0,-72900000.0,-183000000.0,78400000.0,-163700000.0,27000000.0,62800000.0,-71100000.0,32400000.0,-33800000.0,56851000.0,573000.0,0.0
,accountsReceivables,259700000.0,-276700000.0,112700000.0,-155800000.0,-48100000.0,-36500000.0,55400000.0,5800000.0,20500000.0,-157100000.0,-28000000.0,-31300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,244400000.0,-417700000.0,138700000.0,-191100000.0,-53700000.0,114000000.0,217000000.0,-255600000.0,46000000.0,-166900000.0,20900000.0,-46900000.0,59000000.0,-32000000.0,-24800000.0,14332000.0,-2164000.0,0.0
,accountsPayables,-480300000.0,565200000.0,-128100000.0,290900000.0,221000000.0,-75800000.0,-117300000.0,47100000.0,38900000.0,65300000.0,38900000.0,137200000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-16800000.0,607400000.0,756800000.0,-59900000.0,2300000.0,-18100000.0,-38000000.0,-26100000.0,-13600000.0,-1900000.0,-4800000.0,3800000.0,-10300000.0,2300000.0,-1400000.0,-718000.0,-326000.0,0.0
,otherNonCashItems,92000000.0,34900000.0,11900000.0,9500000.0,4700000.0,5300000.0,5200000.0,7100000.0,5500000.0,600000.0,60500000.0,400000.0,20300000.0,-400000.0,1200000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-282900000.0,575200000.0,560300000.0,332100000.0,268200000.0,180000000.0,316900000.0,102500000.0,462900000.0,130100000.0,71000000.0,137800000.0,28300000.0,179900000.0,110200000.0,148668000.0,24926000.0,17500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-269400000.0,-413000000.0,-322000000.0,-172000000.0,-46300000.0,-214100000.0,-256900000.0,-222300000.0,-132000000.0,-81000000.0,-56800000.0,-170000000.0,-102100000.0,-87700000.0,-97500000.0,-29186000.0,-6974000.0,0.0
,acquisitionsNet,0.0,15000000.0,166000000.0,196000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-200000.0,-5800000.0,-61600000.0,-240900000.0,0.0,0.0,-4100000.0,-13000000.0,0.0,0.0,-472800000.0,-3303200000.0,-520200000.0,-26586000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300000.0,517200000.0,3242500000.0,473600000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-691300000.0,-145300000.0,100000.0,200000.0,2200000.0,1300000.0,1300000.0,200000.0,3500000.0,4200000.0,40300000.0,18600000.0,0.0,0.0,-91000.0,0.0,-12100000.0
,netCashUsedForInvestingActivites,-191300000.0,-691300000.0,-200800000.0,13000000.0,180500000.0,-460400000.0,-289400000.0,-244200000.0,-159200000.0,-195700000.0,-44500000.0,-102900000.0,-39100000.0,-222700000.0,-251400000.0,-162313000.0,-27343000.0,-12100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1792800000.0,-1588000000.0,-2506100000.0,-1343400000.0,-382900000.0,-650800000.0,-1025400000.0,-758000000.0,-793300000.0,-700600000.0,-915400000.0,-588800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175500000.0,0.0,0.0,0.0,0.0,3900000.0,167400000.0,0.0,0.0,0.0
,commonStockRepurchased,-1900000.0,-178100000.0,-365300000.0,-25000000.0,-6000000.0,-42200000.0,-74700000.0,-37900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-69100000.0,-86800000.0,-80100000.0,-44000000.0,-37500000.0,-37100000.0,-59200000.0,-57300000.0,-35500000.0,-19500000.0,-8400000.0,-8100000.0,-8000000.0,-28500000.0,-1900000.0,0.0,0.0,0.0
,otherFinancingActivites,102100000.0,-24400000.0,-125400000.0,-100500000.0,-27100000.0,-27200000.0,-30300000.0,-14000000.0,-4200000.0,197500000.0,-37100000.0,-4800000.0,-1700000.0,2500000.0,-2100000.0,-11315000.0,-6056000.0,-4400000.0
,netCashUsedProvidedByFinancingActivities,306400000.0,-7900000.0,-297600000.0,-104600000.0,-61700000.0,138500000.0,16600000.0,-60000000.0,72100000.0,242400000.0,-45800000.0,18200000.0,-78900000.0,45500000.0,180200000.0,54107000.0,5616000.0,-4400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
