date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-01-02_FY,2009-01-03_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2004-01-03_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-139000.0,128500000.0,200100000.0,300000.0,87700000.0,122800000.0,133100000.0,100400000.0,80700000.0,123287000.0,104500000.0,61900000.0,95800000.0,92900000.0,83600000.0,74467000.0,65900000.0,51700000.0,47900000.0,45200000.0,10700000.0,32400000.0,41700000.0,41500000.0,32900000.0,24100000.0,16600000.0,11500000.0,-11000000.0,3300000.0,-5700000.0,7300000.0
,depreciationAndAmortization,32000000.0,32700000.0,31500000.0,37200000.0,43500000.0,48700000.0,53300000.0,56200000.0,27700000.0,15907000.0,16200000.0,17600000.0,20700000.0,22800000.0,20600000.0,20040000.0,19100000.0,18000000.0,16800000.0,17600000.0,17700000.0,14900000.0,13000000.0,9200000.0,7100000.0,5800000.0,5700000.0,5200000.0,5200000.0,5000000.0,5100000.0,4900000.0
,deferredIncomeTax,-56000000.0,-9000000.0,22100000.0,-75800000.0,-5800000.0,-26700000.0,-19100000.0,-27800000.0,-4200000.0,7676000.0,-2700000.0,-7800000.0,0.0,-5700000.0,-8500000.0,-4908000.0,1200000.0,-900000.0,200000.0,5200000.0,-4100000.0,9600000.0,500000.0,4600000.0,-200000.0,1900000.0,200000.0,3300000.0,1800000.0,-1900000.0,-3600000.0,0.0
,stockBasedCompensation,28000000.0,24500000.0,31200000.0,25400000.0,22800000.0,18700000.0,25100000.0,28200000.0,14988000.0,14074000.0,11543000.0,8935000.0,8164000.0,8316000.0,7155000.0,0.0,3349000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,318300000.0,-214900000.0,-317400000.0,14300000.0,37200000.0,-41000000.0,-87200000.0,33100000.0,269782000.0,46918000.0,68300000.0,88100000.0,-40500000.0,-41400000.0,47689000.0,-3889000.0,19800000.0,17700000.0,-17200000.0,29200000.0,-29700000.0,11100000.0,50700000.0,44200000.0,17500000.0,51800000.0,14300000.0,15900000.0,1500000.0,-3400000.0,-10500000.0,1700000.0
,accountsReceivables,64000000.0,30700000.0,-95000000.0,-2700000.0,32300000.0,5800000.0,76500000.0,-41300000.0,15136000.0,-24802000.0,-32466000.0,9817000.0,3419000.0,-21530000.0,6409000.0,0.0,-2332000.0,15534000.0,-5879000.0,9178000.0,2175000.0,-18600000.0,-14000000.0,-12100000.0,-42600000.0,-12700000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,107000000.0,-23800000.0,-44500000.0,45400000.0,110000000.0,-68800000.0,2900000.0,35100000.0,-29334000.0,-28120000.0,-51173000.0,44500000.0,-39201000.0,22450000.0,-18764000.0,19375000.0,-15833000.0,17069000.0,24884000.0,-31655000.0,11678000.0,-1000000.0,-23200000.0,-26400000.0,-29000000.0,-9400000.0,-11500000.0,-6300000.0,-2300000.0,-1500000.0,1800000.0,-1100000.0
,accountsPayables,-18000000.0,0.0,40600000.0,11200000.0,-50400000.0,52900000.0,16200000.0,-26500000.0,5907000.0,-7054000.0,21672000.0,-7326000.0,-5064000.0,3140000.0,5434000.0,0.0,21229000.0,-5820000.0,-656000.0,7450000.0,655000.0,-8500000.0,9400000.0,17000000.0,-26100000.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,498000000.0,179700000.0,394600000.0,712000000.0,697700000.0,660500000.0,701500000.0,788700000.0,755600000.0,485818000.0,438900000.0,370600000.0,282500000.0,323000000.0,364400000.0,316711000.0,320600000.0,300800000.0,283100000.0,300300000.0,271100000.0,300800000.0,289700000.0,239000000.0,194800000.0,177300000.0,125500000.0,111200000.0,95300000.0,93800000.0,97200000.0,107700000.0
,otherNonCashItems,0.0,67300000.0,-18500000.0,128700000.0,24600000.0,68600000.0,59600000.0,75400000.0,11100000.0,134558000.0,27200000.0,26700000.0,21800000.0,12900000.0,14300000.0,0.0,8000000.0,-1500000.0,2700000.0,-2500000.0,41600000.0,13700000.0,-5000000.0,500000.0,-2900000.0,-2300000.0,1500000.0,-1000000.0,14000000.0,-300000.0,800000.0,-400000.0
,netCashProvidedByOperatingActivites,309000000.0,222600000.0,97500000.0,202700000.0,296300000.0,215500000.0,314600000.0,202300000.0,91600000.0,78814000.0,67900000.0,168600000.0,93500000.0,123300000.0,108300000.0,119651000.0,106400000.0,102200000.0,88300000.0,53900000.0,71000000.0,47200000.0,-4500000.0,-200000.0,14900000.0,1400000.0,12400000.0,6000000.0,-800000.0,3200000.0,10500000.0,12400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-10000000.0,-34400000.0,-21700000.0,-32400000.0,-55300000.0,-46400000.0,-30000000.0,-41700000.0,-14942000.0,-19397000.0,-16370000.0,-11670000.0,-24126000.0,-17879000.0,-17067000.0,-19160000.0,-18080000.0,-16015000.0,-13875000.0,-11298000.0,-11978000.0,-19400000.0,-32400000.0,-35400000.0,-20600000.0,-18600000.0,-9900000.0,-6600000.0,-4100000.0,-6700000.0,-7200000.0,-5800000.0
,acquisitionsNet,-5000000.0,-15100000.0,2000000.0,39000000.0,8000000.0,8000000.0,0.0,0.0,-1225880000.0,0.0,0.0,0.0,-8000000.0,0.0,0.0,-5000000.0,-5000000.0,-14780000.0,-27366000.0,-1410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-319200000.0,-174700000.0,-51500000.0,0.0,-92600000.0,0.0,-800000.0,-14121000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
