date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1775888000.0,442776000.0,400235000.0,231418000.0,189682000.0,144020000.0,145832000.0,64295000.0,58691000.0,66716000.0,74253000.0,-31269000.0,79987000.0,35724000.0,-34963000.0,1413000.0,8768000.0,-20122000.0,-68121000.0,-97474000.0,-88748000.0,-15415000.0
,depreciationAndAmortization,93538000.0,78990000.0,54727000.0,37739000.0,24002000.0,18004000.0,17856000.0,16825000.0,17811000.0,17477000.0,14186000.0,13004000.0,12791000.0,13385000.0,10271000.0,10451000.0,14686000.0,21915000.0,29081000.0,30025000.0,2513000.0,559000.0
,deferredIncomeTax,-1491577000.0,307000.0,-15680000.0,17572000.0,-513000.0,-1200000.0,25481000.0,21204000.0,17783000.0,5842000.0,17307000.0,-2612000.0,-64608000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,98427000.0,88184000.0,70763000.0,58854000.0,54148000.0,52943000.0,39823000.0,26438000.0,21483000.0,19165000.0,16072000.0,15088000.0,17735000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-138512000.0,52043000.0,-48781000.0,60544000.0,138305000.0,4989000.0,86011000.0,39316000.0,93323000.0,-58938000.0,115581000.0,62721000.0,-5723000.0,82752000.0,-22672000.0,1092000.0,22149000.0,-7696000.0,-16314000.0,45474000.0,8246000.0,1812000.0
,accountsReceivables,-139777000.0,-121014000.0,-109224000.0,-90990000.0,-94444000.0,-40775000.0,-27229000.0,-11981000.0,-9138000.0,-21693000.0,-12184000.0,-2586000.0,-7951000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-29110000.0,-58269000.0,-24109000.0,-5481000.0,-7663000.0,-3563000.0,-1999000.0,1158000.0,-5718000.0,-4058000.0,-508000.0,-85000.0,943000.0,186000.0,-160000.0,-213000.0,-308000.0,354000.0,102000.0,-80000.0,-1658000.0,-366000.0
,accountsPayables,52206000.0,22099000.0,25045000.0,8175000.0,-3395000.0,7575000.0,2887000.0,-186000.0,-6000.0,7535000.0,2612000.0,-614000.0,-2651000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,523937000.0,662449000.0,610406000.0,659187000.0,598643000.0,460338000.0,455349000.0,369338000.0,330022000.0,236699000.0,295637000.0,180056000.0,117335000.0,123058000.0,40306000.0,62978000.0,61886000.0,39737000.0,47433000.0,63747000.0,18273000.0,10027000.0
,otherNonCashItems,38250000.0,41543000.0,17252000.0,13847000.0,12031000.0,13799000.0,10106000.0,4142000.0,1989000.0,0.0,195000.0,708000.0,71000.0,11808000.0,8622000.0,0.0,-4000.0,0.0,29000.0,0.0,23829000.0,1411000.0
,netCashProvidedByOperatingActivites,662174000.0,747270000.0,554681000.0,438539000.0,247654000.0,237997000.0,226899000.0,185976000.0,133778000.0,130469000.0,129529000.0,74165000.0,39746000.0,52777000.0,-14030000.0,16088000.0,24562000.0,12122000.0,-40399000.0,-77855000.0,-58800000.0,-11633000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-154916000.0,-149707000.0,-223312000.0,-195695000.0,-70576000.0,-53451000.0,-24092000.0,-19412000.0,-38333000.0,-30404000.0,-18031000.0,-7192000.0,-14334000.0,-7429000.0,-24028000.0,-13801000.0,-9061000.0,-7585000.0,-8112000.0,-19175000.0,-13571000.0,-2463000.0
,acquisitionsNet,-420788000.0,0.0,0.0,-9000000.0,0.0,0.0,0.0,-8000000.0,0.0,-188000000.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5341000.0,-693284000.0,-180191000.0,-390244000.0,-405612000.0,-447092000.0,-437152000.0,-303917000.0,-67511000.0,0.0,-18334000.0,-42923000.0,-75050000.0,-64686000.0,-18416000.0,-2226000.0,-519000.0,-7684000.0,-1972000.0,-72219000.0,-35291000.0,-6246000.0
,salesMaturitiesOfInvestments,321458000.0,485431000.0,384665000.0,388776000.0,603992000.0,334136000.0,259800000.0,122658000.0,25198000.0,10317000.0,20590000.0,48893000.0,87926000.0,34797000.0,9481000.0,2226000.0,2811000.0,8069000.0,14093000.0,74310000.0,9077000.0,5105000.0
,otherInvestingActivites,28081000.0,7116000.0,30765000.0,-29433000.0,-8211000.0,46000.0,-183000.0,-2411000.0,2346000.0,-4026000.0,-145000.0,-334000.0,214000.0,539000.0,-154000.0,-607000.0,-73000.0,2801000.0,-2497000.0,15124000.0,-1848000.0,0.0
,netCashUsedForInvestingActivites,-231506000.0,-350444000.0,6927000.0,-248313000.0,72848000.0,-166361000.0,-201627000.0,-210734000.0,-78300000.0,-211606000.0,-15920000.0,-1556000.0,-1055000.0,-36779000.0,-32751000.0,-15264000.0,-5984000.0,-4334000.0,1512000.0,-1960000.0,-41633000.0,-3604000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-51122000.0,-45773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136000.0,-407000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-318000.0,-8000.0
,commonStockIssued,20314000.0,17907000.0,16635000.0,14461000.0,13778000.0,11325000.0,18028000.0,34196000.0,42327000.0,25501000.0,11822000.0,8097000.0,10506000.0,28993000.0,16175000.0,5585000.0,8115000.0,2880000.0,19248000.0,138606000.0,84122000.0,18782000.0
