date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,68594000.0,50430000.0,58269000.0,51614000.0,55833499.0,41978523.0,39058219.0,32038091.0,26338748.0,22942482.0,18363047.0,13945993.0,11921077.0,11955220.0,10739001.0,6363076.0,7104661.0,6327907.0,-7609993.0,-77444273.0,-40277950.0,-10700000.0,-7900000.0
,depreciationAndAmortization,14245000.0,12610000.0,9117000.0,6929000.0,6749133.0,8385413.0,9177018.0,8333089.0,6518532.0,4898488.0,4676824.0,8165666.0,3633201.0,2501615.0,2040398.0,1602879.0,1495252.0,1783164.0,3379270.0,27953007.0,27959636.0,11000000.0,5900000.0
,deferredIncomeTax,-1483000.0,1682000.0,1448000.0,1640000.0,-885142.0,-3814774.0,-2461240.0,-1069988.0,734208.0,788258.0,949405.0,5727658.0,6534832.0,6220176.0,7179104.0,4150803.0,4330885.0,852418.0,-5044598.0,-22596670.0,-14753234.0,-1400000.0,600000.0
,stockBasedCompensation,7158000.0,6769000.0,6338000.0,5464000.0,5997384.0,6440841.0,6103898.0,4025960.0,3802572.0,4509727.0,4029022.0,3008567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-27182000.0,14922000.0,38745000.0,33497604.0,18348604.0,12682509.0,14547283.0,14360899.0,8813194.0,12433234.0,-11438850.0,1723947.0,3698813.0,-23230087.0,21782933.0,15530378.0,11334516.0,8422955.0,224685.0,-26723823.0,-51244794.0,-1300000.0,-100000.0
,accountsReceivables,-71134000.0,-4826000.0,22182000.0,-21769000.0,-2359409.0,-23184345.0,-5063238.0,-2786606.0,-5955142.0,-7246782.0,-3095308.0,-1467177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,18679000.0,3593000.0,-28828000.0,15669000.0,12119187.0,19730242.0,2326103.0,-4502022.0,-1374212.0,3439367.0,-1273509.0,1080857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1241000.0,212131000.0,197209000.0,158464000.0,124966396.0,106617792.0,93935283.0,79388000.0,65027101.0,56213907.0,43780673.0,55219523.0,53495576.0,49796763.0,73026850.0,51243917.0,35713539.0,24379023.0,15956068.0,15731383.0,42455206.0,93700000.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22942482.0,0.0,-2184255.0,2319935.0,1681316.0,575159.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,100000.0
,netCashProvidedByOperatingActivites,62837000.0,72050000.0,69836000.0,64836000.0,78432506.0,50758238.0,51282333.0,40853339.0,28389575.0,30602613.0,21990681.0,30520723.0,22692164.0,24614391.0,25718902.0,21197412.0,14564462.0,3569877.0,-6366995.0,-10839091.0,-24515280.0,-2300000.0,400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3354000.0,-4253000.0,-5410000.0,-4771000.0,-5646404.0,-4453495.0,-5380800.0,-6717034.0,-12776316.0,-6136666.0,-4102176.0,-3864997.0,-4620303.0,-5444188.0,-2824440.0,-2327360.0,-1189336.0,-1518798.0,-967627.0,-2419718.0,-5417151.0,-16900000.0,-300000.0
,acquisitionsNet,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,-18000000.0,-24500000.0,-35500000.0,0.0,-497705.0,-23745011.0,-40303984.0,-267876755.0,-186400000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18600000.0,45916640.0,0.0,15000000.0,250000.0,500000.0,27566194.0,61721032.0,328683223.0,105900000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191000.0,-6262093.0,-15487136.0,-100000.0,900000.0
,netCashUsedForInvestingActivites,-11835000.0,-26410000.0,-17545000.0,-8329000.0,-8214759.0,-5441438.0,-6859023.0,-8190167.0,-13489817.0,-6579725.0,-4567965.0,-5346594.0,13011931.0,22486124.0,-27324440.0,-22827360.0,-639331.0,-1516503.0,2662556.0,13222488.0,30620407.0,-97500000.0,600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,1509000.0,1443000.0,1382000.0,1330000.0,1114143.0,1131389.0,1106777.0,904471.0,806010.0,651600.0,679277.0,465086.0,2141308.0,1120089.0,1449001.0,4762689.0,1303137.0,1160796.0,2896682.0,302647.0,1064817.0,109900000.0,100000.0
,commonStockRepurchased,-3944000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-215260.0,0.0,-200938.0,0.0,0.0
