date,,2020-08-31_FY,2019-08-31_FY,2018-08-31_FY,2017-08-31_FY,2016-08-31_FY,2015-08-31_FY,2014-08-31_FY,2013-08-31_FY,2012-08-31_FY,2011-08-31_FY,2010-08-31_FY,2009-08-31_FY,2008-08-31_FY,2007-08-31_FY,2006-08-31_FY,2005-08-31_FY,2004-08-31_FY,2003-08-31_FY,2002-08-31_FY,2001-08-31_FY,2000-08-31_FY,1999-08-31_FY,1998-08-31_FY,1997-08-31_FY,1996-08-31_FY,1995-08-31_FY,1994-08-31_FY,1993-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-4145000.0,56345000.0,156451000.0,44511000.0,-19409000.0,-197009000.0,5924000.0,-281442000.0,27404000.0,118355000.0,66750000.0,-32229000.0,248683000.0,131334000.0,143068000.0,146867000.0,111181000.0,43201000.0,6553000.0,7919000.0,10366000.0,3400000.0,9400000.0,21200000.0,20800000.0,22200000.0,10700000.0,2100000.0
,depreciationAndAmortization,58173000.0,53336000.0,49672000.0,49840000.0,54630000.0,67936000.0,79209000.0,83070000.0,82256000.0,74866000.0,63418000.0,60681000.0,51362000.0,40563000.0,31411000.0,20881000.0,20403000.0,19441000.0,18631000.0,18742000.0,18361000.0,17700000.0,18700000.0,18300000.0,14000000.0,11600000.0,9400000.0,9900000.0
,deferredIncomeTax,15096000.0,14613000.0,-37995000.0,2278000.0,507000.0,-1988000.0,-3815000.0,-59102000.0,8321000.0,21004000.0,10891000.0,24727000.0,2582000.0,8134000.0,-6611000.0,4239000.0,-9068000.0,1791000.0,692000.0,1787000.0,1328000.0,3700000.0,1200000.0,-2200000.0,3500000.0,-1300000.0,500000.0,-1700000.0
,stockBasedCompensation,10033000.0,17300000.0,18965000.0,10847000.0,10437000.0,10481000.0,14506000.0,11475000.0,8793000.0,13655000.0,11035000.0,8898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-59091000.0,4376000.0,31992000.0,-4462000.0,-35767000.0,-84743000.0,-14434000.0,-36881000.0,-82709000.0,120005000.0,29796000.0,-163719000.0,165317000.0,-19993000.0,163402000.0,52784000.0,653000.0,33090000.0,-52059000.0,11531000.0,-12821000.0,-18400000.0,6200000.0,11600000.0,36500000.0,8600000.0,8600000.0,2900000.0
,accountsReceivables,-2252000.0,9478000.0,-44941000.0,-36195000.0,-10693000.0,55600000.0,-16360000.0,-79118000.0,81701000.0,-91715000.0,-11569000.0,189511000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,39226000.0,33466000.0,-24280000.0,-22207000.0,27504000.0,69256000.0,36264000.0,46826000.0,94095000.0,-45268000.0,-109138000.0,198840000.0,-215812000.0,15369000.0,-60969000.0,-26022000.0,-19024000.0,-1240000.0,31174000.0,-13008000.0,14629000.0,13400000.0,-8000000.0,-2300000.0,-18900000.0,-13000000.0,600000.0,-200000.0
,accountsPayables,-7971000.0,-17068000.0,26049000.0,33062000.0,-763000.0,-35638000.0,9409000.0,-10901000.0,-26074000.0,45447000.0,8479000.0,-79086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,138967000.0,198058000.0,193682000.0,161690000.0,166152000.0,201919000.0,286662000.0,301096000.0,337977000.0,420686000.0,300681000.0,270885000.0,434604000.0,269287000.0,289280000.0,125878000.0,73094000.0,72441000.0,39351000.0,91410000.0,79879000.0,92700000.0,111100000.0,104900000.0,93300000.0,56800000.0,48200000.0,39600000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2868000.0,-8653000.0,45071000.0,64385000.0,6907000.0,-1020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1900000.0,0.0,-2600000.0,-100000.0,100000.0,100000.0
,netCashProvidedByOperatingActivites,124597000.0,144740000.0,159676000.0,100370000.0,99240000.0,144628000.0,141252000.0,39289000.0,244790000.0,140463000.0,89490000.0,287579000.0,141764000.0,179315000.0,105215000.0,73499000.0,73221000.0,40937000.0,36385000.0,8648000.0,35378000.0,36800000.0,13300000.0,23100000.0,-5800000.0,33700000.0,20800000.0,11500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84262000.0,-80853000.0,-86583000.0,-48250000.0,-22192000.0,-21796000.0,-9569000.0,-9297000.0,-10732000.0,-12000000.0,-14200000.0,-15500000.0,-44600000.0,-31200000.0,-21100000.0,-5600000.0
,acquisitionsNet,0.0,-2000000.0,-2000000.0,0.0,0.0,0.0,-2000000.0,-25000000.0,-7000000.0,-294000000.0,-41000000.0,-93000000.0,-47000000.0,-45000000.0,-77000000.0,-22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-6017000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,1890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,3150000.0,5960000.0,6517000.0,5158000.0,4106000.0,4270000.0,3841000.0,5491000.0,-92000.0,0.0,-340000.0,1621000.0,2270000.0,7797000.0,-36951000.0,48599000.0,-25917000.0,-67909000.0,31396000.0,8043000.0,832000.0,2800000.0,-38500000.0,-24000000.0,3900000.0,-63300000.0,-100000.0,300000.0
,netCashUsedForInvestingActivites,-78855000.0,-89565000.0,-73398000.0,-45394000.0,-30476000.0,-28178000.0,-41231000.0,-137184000.0,-84266000.0,-399901000.0,-64289000.0,-150476000.0,-127963000.0,-117408000.0,-197787000.0,349000.0,-46460000.0,-89120000.0,21827000.0,-1254000.0,-9900000.0,-9200000.0,-52700000.0,-39500000.0,-40700000.0,-94500000.0,-19800000.0,-5200000.0
