date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-732000000.0,920000000.0,1087000000.0,564000000.0,762000000.0,558000000.0,732000000.0,317000000.0,61000000.0,-15000000.0,-130000000.0,-252000000.0,427000000.0,727000000.0,738000000.0,166000000.0,-40000000.0,14000000.0,-16000000.0,51000000.0,156000000.0,211000000.0
,depreciationAndAmortization,665000000.0,676000000.0,944000000.0,751000000.0,724000000.0,716000000.0,701000000.0,697000000.0,751000000.0,655000000.0,593000000.0,703000000.0,579000000.0,517000000.0,459000000.0,373000000.0,354000000.0,367000000.0,372000000.0,378000000.0,331000000.0,293000000.0
,deferredIncomeTax,0.0,7000000.0,4000000.0,38000000.0,27000000.0,5000000.0,-1000000.0,6000000.0,17000000.0,-11000000.0,-36000000.0,-38000000.0,-8000000.0,-7000000.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,-47000000.0,-66000000.0
,stockBasedCompensation,0.0,15000000.0,14000000.0,11000000.0,12000000.0,11000000.0,22000000.0,18000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4655000000.0,-229000000.0,642000000.0,659000000.0,179000000.0,-334000000.0,-275000000.0,392000000.0,-116000000.0,-333000000.0,-568000000.0,841000000.0,188000000.0,1035000000.0,-250000000.0,45000000.0,-8000000.0,98000000.0,59000000.0,526000000.0,-47000000.0,-232000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,9000000.0,-1000000.0,59000000.0,41000000.0,83000000.0,2000000.0,-55000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000000.0,12000000.0,28000000.0,-19000000.0,-60000000.0,-5000000.0,65000000.0,-61000000.0
,otherWorkingCapital,-3282000000.0,1373000000.0,1602000000.0,960000000.0,301000000.0,122000000.0,456000000.0,731000000.0,339000000.0,455000000.0,788000000.0,1356000000.0,515000000.0,327000000.0,-708000000.0,-458000000.0,-503000000.0,-495000000.0,-593000000.0,-652000000.0,-1178000000.0,-1131000000.0
,otherNonCashItems,0.0,-338000000.0,7000000.0,6000000.0,6000000.0,19000000.0,23000000.0,25000000.0,11000000.0,4000000.0,6000000.0,-5000000.0,-18000000.0,-162000000.0,49000000.0,-49000000.0,5000000.0,-34000000.0,77000000.0,-270000000.0,-94000000.0,128000000.0
,netCashProvidedByOperatingActivites,0.0,1250000000.0,1300000000.0,1230000000.0,1303000000.0,1171000000.0,1150000000.0,1019000000.0,782000000.0,661000000.0,520000000.0,552000000.0,1020000000.0,1001000000.0,881000000.0,512000000.0,360000000.0,373000000.0,389000000.0,239000000.0,483000000.0,319000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17000000.0,0.0,0.0,0.0,-12000000.0,-349000000.0,-250000000.0,-201000000.0,-105000000.0,-206000000.0,-379000000.0,-376000000.0
,acquisitionsNet,0.0,-602000000.0,-1025000000.0,-468000000.0,-63000000.0,-438000000.0,-151000000.0,-185000000.0,-447000000.0,-1047000000.0,-380000000.0,0.0,0.0,-37000000.0,-1021000000.0,-284000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-13000000.0,-19000000.0,-6000000.0,-49000000.0,-54000000.0,-13000000.0,-77000000.0,-358000000.0,-78000000.0,0.0,-47000000.0,-8000000.0,-23000000.0,-84000000.0,-41000000.0,-14000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,52000000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,60000000.0,0.0,0.0
,otherInvestingActivites,0.0,1223000000.0,1605000000.0,495000000.0,480000000.0,272000000.0,499000000.0,643000000.0,261000000.0,41000000.0,51000000.0,185000000.0,30000000.0,143000000.0,17000000.0,-269000000.0,255000000.0,377000000.0,23000000.0,300000000.0,12000000.0,604000000.0
,netCashUsedForInvestingActivites,-195000000.0,58000000.0,100000000.0,-267000000.0,-115000000.0,-736000000.0,-93000000.0,-75000000.0,-886000000.0,-1576000000.0,-706000000.0,-116000000.0,-716000000.0,-192000000.0,-855000000.0,-429000000.0,-501000000.0,-156000000.0,-222000000.0,-279000000.0,-448000000.0,-176000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-706000000.0,-463000000.0,-464000000.0,-953000000.0,-1761000000.0,-759000000.0,-1421000000.0,-1999000000.0,-709000000.0,-1198000000.0,-905000000.0,-343000000.0,-1300000000.0,-913000000.0,-689000000.0,-1230000000.0,-1007000000.0,-13000000.0,-703000000.0,-278000000.0,-1397000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,4000000.0,2000000.0,4000000.0,303000000.0,274000000.0,323000000.0,406000000.0,767000000.0,0.0,0.0,150000000.0,100000000.0,405000000.0,501000000.0,1000000.0,3000000.0,4000000.0,5000000.0
,commonStockRepurchased,0.0,-482000000.0,0.0,0.0,-218000000.0,-675000000.0,0.0,0.0,0.0,0.0,-101000000.0,0.0,-100000000.0,0.0,-300000000.0,-200000000.0,-208000000.0,0.0,0.0,0.0,-59000000.0,-87000000.0
