Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,2378710000.0,2174343000.0,1838000000.0,2463710000.0,2126000000.0,1307617000.0,1005000000.0,841087000.0,603000000.0,610108000.0,462000000.0,576093000.0,398522000.0,677158000.0,463822699.0
Short-term investments,2038493000.0,683812000.0,677000000.0,31543000.0,32000000.0,282880000.0,283000000.0,644071000.0,644000000.0,240311000.0,240000000.0,18730000.0,1973000.0,3149000.0,0.0
Cash and short-term investments,4417203000.0,2858155000.0,677000000.0,2495253000.0,32000000.0,1590497000.0,283000000.0,1485158000.0,644000000.0,850419000.0,240000000.0,594823000.0,400495000.0,680307000.0,463822699.0
Receivables,837828000.0,616308000.0,407000000.0,645822000.0,490000000.0,499846000.0,357000000.0,456388000.0,383000000.0,379361000.0,308000000.0,328211000.0,200905000.0,264048000.0,204290545.0
Inventories,593009000.0,622679000.0,623000000.0,464216000.0,464000000.0,387326000.0,387000000.0,316041000.0,316000000.0,286251000.0,286000000.0,295728000.0,207308000.0,213404000.0,193705195.0
Total current assets,8274729000.0,7749467000.0,7749000000.0,6431525000.0,6432000000.0,4525297000.0,4525000000.0,3471120000.0,3471000000.0,2960151000.0,2960000000.0,2803173000.0,2866416000.0,2727228000.0,2617018634.0
Property Plant & Equipment Net,6777970000.0,6523403000.0,6621000000.0,5687357000.0,5787000000.0,3903818000.0,3995000000.0,2995086000.0,3130000000.0,2528834000.0,2666000000.0,2385435000.0,2516578000.0,2351863000.0,2251614217.0
Goodwill and Intangible Assets,228290000.0,317421000.0,220000000,347848000.0,249000000,315309000.0,224000000,343153000.0,208000000,351990000.0,215000000,235378000.0,179279000.0,173821000.0,182694105.0
Long-term investments,1206601000.0,820958000.0,815000000.0,274575000.0,281000000.0,198977000.0,219000000.0,57631000.0,73000000.0,29200000.0,29000000.0,21636000.0,15856000.0,7665000.0,9848148.0
Tax assets,45426000.0,44875000.0,45000000.0,45981000.0,46000000.0,44942000.0,45000000.0,44383000.0,44000000.0,43890000.0,44000000.0,43380000.0,31787000.0,112688000.0,102531851.0
Total non-current assets,2641512000.0,3290337000.0,4779000000.0,2731151000.0,3984000000.0,1157901000.0,1618000000.0,1311416000.0,1671000000.0,991673000.0,1101000000.0,688622000.0,230607000.0,332565000.0,661472156.0
Total assets,14424320000.0,11918451000.0,11918000000.0,10115278000.0,10115000000.0,7115347000.0,7115000000.0,5769379000.0,5769000000.0,4523392000.0,4523000000.0,4073160000.0,3727929000.0,3902692000.0,3524076617.0
Payables,964860000.0,1007424000.0,838000000.0,897606000.0,781000000.0,1047766000.0,885000000.0,794361000.0,645000000.0,393890000.0,286000000.0,423952000.0,375748000.0,614055000.0,228882804.0
Short-term debt,1246803000.0,441352000.0,441000000.0,693416000.0,687000000.0,507159000.0,506000000.0,162054000.0,162000000.0,390547000.0,391000000.0,597202000.0,829839000.0,738040000.0,571256431.0
Total current liabilities,2859228000.0,1906779000.0,1907000000.0,1980900000.0,1981000000.0,1767191000.0,1767000000.0,1150241000.0,1150000000.0,938537000.0,939000000.0,1108086000.0,1251324000.0,1399345000.0,1031522571.0
Long-term debt,2191303000.0,2874359000.0,2872000000.0,2412385000.0,2338000000.0,909243000.0,909000000.0,1127173000.0,1127000000.0,781538000.0,782000000.0,528612000.0,100921000.0,234923000.0,633977740.0
Total debt,3438106000.0,3315711000.0,2872000000.0,3105801000.0,2338000000.0,1416402000.0,909000000.0,1289227000.0,1127000000.0,1172085000.0,782000000.0,1125814000.0,930760000.0,972963000.0,1205234171.0
Deferred revenue,0.0,0.0,120000000.0,0.0,101000000.0,0.0,120000000.0,0.0,132000000.0,0.0,90000000.0,0.0,0.0,0.0,0.0
Tax Liabilities,4246000.0,16682000.0,16000000.0,15842000.0,15000000.0,7648000.0,7000000.0,172000.0,0000000.0,325000.0,0000000.0,2761000.0,1396000.0,2987000.0,1093737.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,2641512000.0,3290337000.0,4779000000.0,2731151000.0,3984000000.0,1157901000.0,1618000000.0,1311416000.0,1671000000.0,991673000.0,1101000000.0,688622000.0,230607000.0,332565000.0,661472156.0
Total liabilities,5500740000.0,5197116000.0,6685000000.0,4712051000.0,5965000000.0,2925092000.0,3385000000.0,2461657000.0,2821000000.0,1930210000.0,2040000000.0,1796708000.0,1481931000.0,1731910000.0,1692994727.0
Other comprehensive income,0.0,0.0,199000000.0,0.0,94000000.0,0.0,97000000.0,0.0,98000000.0,0.0,75000000.0,0.0,0.0,0.0,-386163.0
Retained earnings (deficit),331298000.0,187008000.0,187000000.0,-910849000.0,-911000000.0,-1287479000.0,-1287000000.0,-1540890000.0,-1541000000.0,-1693859000.0,-1694000000.0,-1867036000.0,-1889807000.0,-1642990000.0,-1712046962.0
Total shareholders equity,5453966000.0,5168960000.0,5233000000.0,4150674000.0,4151000000.0,3729856000.0,3730000000.0,2948415000.0,2948000000.0,2483772000.0,2484000000.0,2275500000.0,2244816000.0,2169537000.0,1761398876.0
Investments,3245094000.0,1504770000.0,815000000.0,306118000.0,281000000.0,481857000.0,219000000.0,701702000.0,73000000.0,269511000.0,29000000.0,40366000.0,17829000.0,10814000.0,9848148.0
Net Debt,-937412000.0,,1475000000,,899000000,,410000000,,686000000,,711000000,,,,
Other Assets,301551000.0,,673000000,,641000000,,560000000,,328000000,,228000000,,,,
Other Liabilities,647565000.0,458003000.0,728000000,389878000.0,558000000,212266000.0,364000000,193826000.0,264000000,154100000.0,228000000,86932000.0,45737000.0,47250000.0,231383336.0
