date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,salesMaturitiesOfInvestments,10000000.0,22000000.0,2100000.0,0.0,0.0,13100000.0,0.0,0.0,0.0,0.0,0.0,0.0,14600000.0,60400000.0,28800000.0,58200000.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,36000000.0,0.0,0.0,0.0,0.0,4700000.0,8400000.0,23900000.0,5400000.0,7900000.0,6800000.0,23100000.0,0.0,0.0,0.0,-45800000.0,-56500000.0,-48800000.0,20500000.0,0.0,-43000000.0,0.0,13900000.0,2700000.0,-259900000.0,-31800000.0,11200000.0,-5600000.0,0.0
,netCashUsedForInvestingActivites,-866000000.0,-489000000.0,-514500000.0,-752300000.0,-404200000.0,-1759100000.0,-665100000.0,-384800000.0,-345200000.0,-564500000.0,-429500000.0,-154800000.0,-485100000.0,-368000000.0,-341100000.0,-700100000.0,-257200000.0,-228200000.0,-130000000.0,-123300000.0,-62000000.0,-810700000.0,-127600000.0,-169100000.0,-351800000.0,-124300000.0,-87600000.0,-66400000.0,-45800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-331000000.0,-204000000.0,-99900000.0,-107600000.0,-322700000.0,-346500000.0,-541600000.0,-121400000.0,-246400000.0,-309100000.0,-116100000.0,-279200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100000.0,46300000.0,27100000.0,17600000.0,14400000.0,39300000.0,9800000.0,2800000.0,1100000.0,700000.0,700000.0,2100000.0,2600000.0,5000000.0,3900000.0,84900000.0,0.0
,commonStockRepurchased,-216000000.0,-100000000.0,-150000000.0,-100000000.0,-288000000.0,-349800000.0,-139900000.0,-225500000.0,-295900000.0,-357600000.0,-325700000.0,0.0,-55900000.0,-47000000.0,0.0,0.0,0.0,-2500000.0,-18100000.0,-700000.0,-22100000.0,0.0,-13000000.0,-10200000.0,0.0,0.0,0.0,-600000.0,0.0
,dividendsPaid,-146000000.0,-140000000.0,-141500000.0,-124100000.0,-113400000.0,-116700000.0,-116100000.0,-56800000.0,0.0,0.0,0.0,-22600000.0,-51100000.0,-39400000.0,-51800000.0,-40000000.0,-27900000.0,-19400000.0,-16000000.0,-15800000.0,-15900000.0,-15500000.0,-14100000.0,-14300000.0,-14100000.0,-13900000.0,-13300000.0,0.0,0.0
,otherFinancingActivites,-43000000.0,-24000000.0,-35500000.0,-31700000.0,-21000000.0,-23300000.0,-44700000.0,-54200000.0,-55000000.0,-38200000.0,19100000.0,-74900000.0,-12500000.0,-17500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,437000000.0,-420000000.0,-383400000.0,-362500000.0,-733800000.0,736600000.0,-201700000.0,-135400000.0,-188600000.0,-219700000.0,-13200000.0,44800000.0,5100000.0,-159300000.0,-59900000.0,122300000.0,-69400000.0,-3900000.0,-130100000.0,-60500000.0,-216800000.0,446700000.0,23200000.0,4500000.0,173500000.0,15100000.0,-64800000.0,-7400000.0,8700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,63000000.0,-6000000.0,-34500000.0,36100000.0,-31700000.0,-65500000.0,-76700000.0,25200000.0,11200000.0,-14300000.0,-3700000.0,13000000.0,-5900000.0,-11000000.0,-7500000.0,41300000.0,16600000.0,1700000.0,2400000.0,-500000.0,-23800000.0,-2800000.0,2400000.0,-900000.0,-200000.0,-5800000.0,200000.0,-300000.0,400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,818000000.0,93000000.0,194100000.0,101600000.0,-134000000.0,-220100000.0,-141700000.0,223800000.0,356100000.0,-90300000.0,92500000.0,254000000.0,-85100000.0,65200000.0,33600000.0,-140000000.0,116600000.0,76500000.0,3700000.0,11500000.0,-300000.0,-22300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,1650000000.0,832000000.0,739400000.0,545300000.0,443700000.0,577700000.0,797800000.0,939500000.0,715700000.0,359600000.0,449900000.0,357400000.0,103400000.0,188500000.0,123300000.0,89700000.0,229700000.0,113100000.0,36600000.0,32900000.0,21400000.0,21700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,832000000.0,739000000.0,545300000.0,443700000.0,577700000.0,797800000.0,939500000.0,715700000.0,359600000.0,449900000.0,357400000.0,103400000.0,188500000.0,123300000.0,89700000.0,229700000.0,113100000.0,36600000.0,32900000.0,21400000.0,21700000.0,44000000.0,13400000.0,11500000.0,12100000.0,14900000.0,9400000.0,9400000.0,9000000.0
,operatingCashFlow,1184000000.0,1008000000.0,1126500000.0,1180300000.0,1035700000.0,867900000.0,801800000.0,718800000.0,878700000.0,708200000.0,538900000.0,351000000.0,400800000.0,603500000.0,442100000.0,396500000.0,426600000.0,306900000.0,261400000.0,195800000.0,302300000.0,344500000.0,132600000.0,167400000.0,177900000.0,112200000.0,157700000.0,74100000.0,37100000.0
,capitalExpenditure,-461000000.0,-481000000.0,-546600000.0,-560000000.0,-500600000.0,-577300000.0,-563000000.0,-417800000.0,-407400000.0,-393700000.0,-276600000.0,-172000000.0,-369700000.0,-293900000.0,-268300000.0,-246700000.0,-204900000.0,-172000000.0,-166100000.0,-140900000.0,-167100000.0,-998900000.0,-187600000.0,-177500000.0,-91900000.0,-92500000.0,-98800000.0,-65500000.0,-47700000.0
,freeCashFlow,723000000.0,527000000.0,579900000.0,620300000.0,535100000.0,290600000.0,238800000.0,301000000.0,471300000.0,314500000.0,262300000.0,179000000.0,31100000.0,309600000.0,173800000.0,149800000.0,221700000.0,134900000.0,95300000.0,54900000.0,135200000.0,-654400000.0,-55000000.0,-10100000.0,86000000.0,19700000.0,58900000.0,8600000.0,-10600000.0
