date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1098100000.0,1034400000.0,933700000.0,817300000.0,756800000.0,674900000.0,627500000.0,569000000.0,548000000.0,515300000.0,476999000.0,533545000.0,576145000.0,515447000.0,464914000.0,368849000.0,302950000.0,293452000.0,274531000.0,254869000.0,190007000.0,139100000.0,102200000.0,75200000.0,52300000.0,39000000.0
,depreciationAndAmortization,209700000.0,181500000.0,138000000.0,126900000.0,115100000.0,106600000.0,105000000.0,98200000.0,97800000.0,88700000.0,86445000.0,85772000.0,99647000.0,96986000.0,94414000.0,91855000.0,82791000.0,64555000.0,47392000.0,39139000.0,36484000.0,32900000.0,27300000.0,21400000.0,13900000.0,11000000.0
,deferredIncomeTax,-4000000.0,4700000.0,19200000.0,17400000.0,7100000.0,-4100000.0,-4900000.0,5300000.0,11700000.0,13600000.0,-3856000.0,0.0,3713000.0,-16388000.0,-7716000.0,9590000.0,-8004000.0,9663000.0,3750000.0,3411000.0,-2786000.0,-400000.0,-1000000.0,-2100000.0,0.0,0.0
,stockBasedCompensation,47400000.0,46200000.0,44600000.0,35400000.0,34600000.0,31400000.0,26300000.0,22800000.0,22900000.0,24800000.0,25580000.0,25707000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,205000000.0,335500000.0,-49700000.0,49200000.0,-32500000.0,-42300000.0,8100000.0,234200000.0,-139400000.0,52661000.0,-120994000.0,109294000.0,-195210000.0,17920000.0,-141317000.0,188702000.0,113427000.0,-346051000.0,143737000.0,171801000.0,114830000.0,97700000.0,68400000.0,57500000.0,39700000.0,-2700000.0
,accountsReceivables,55100000.0,-117200000.0,13600000.0,-103700000.0,-37500000.0,-28200000.0,-18200000.0,8300000.0,17600000.0,23700000.0,-10190000.0,3818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-4900000.0,77500000.0,42600000.0,39100000.0,63300000.0,51100000.0,45100000.0,-16600000.0,-26900000.0,0.0,-15003000.0,-10049000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1037700000.0,832700000.0,497200000.0,546900000.0,497700000.0,530200000.0,572500000.0,564400000.0,330200000.0,469600000.0,416939000.0,537933000.0,428639000.0,623849000.0,605929000.0,747246000.0,558544000.0,445117000.0,791168000.0,647431000.0,475630000.0,360800000.0,263100000.0,194700000.0,137200000.0,97500000.0
,otherNonCashItems,186100000.0,180200000.0,0.0,0.0,0.0,0.0,0.0,0.0,548000000.0,515300000.0,17475000.0,534589000.0,28478000.0,66238000.0,13760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
,netCashProvidedByOperatingActivites,1440900000.0,1271500000.0,1276400000.0,960400000.0,1018200000.0,895200000.0,880900000.0,675300000.0,706600000.0,715300000.0,610923000.0,688771000.0,724669000.0,631227000.0,569233000.0,467857000.0,390086000.0,373708000.0,303821000.0,304938000.0,249028000.0,174100000.0,136800000.0,101800000.0,59900000.0,48100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-127000000.0,-123800000.0,-154000000.0,-94300000.0,-97700000.0,-102800000.0,-84100000.0,-98700000.0,-89600000.0,-100500000.0,-73174000.0,-64709000.0,-82289000.0,-79020000.0,-81143000.0,-70686000.0,-50562000.0,-60212000.0,-54378000.0,-45250000.0,-32888000.0,-22100000.0,-28200000.0,-18000000.0,-17000000.0,-12300000.0
,acquisitionsNet,-6000000.0,-992000000.0,-180000000.0,0.0,-296000000.0,-27000000.0,-9000000.0,-21000000.0,-6000000.0,-126000000.0,13000000.0,-6000000.0,-33000000.0,-3000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-25218100000.0,-35145800000.0,-50220200000.0,-50462300000.0,-12572200000.0,-34020400000.0,-29850500000.0,-28332800000.0,-10180500000.0,-6229100000.0,-1554950000.0,-16365721000.0,-80501595000.0,-109642485000.0,-91072442000.0,-3230532000.0,-1237008000.0,-815714000.0,-1213325000.0,-921138000.0,-1301811000.0,-811000000.0,-689200000.0,-517200000.0,-134800000.0,-51400000.0
,salesMaturitiesOfInvestments,26132900000.0,34638800000.0,51592900000.0,49903000000.0,11984300000.0,33719500000.0,30080600000.0,27620200000.0,9817400000.0,6049300000.0,1152019000.0,17958518000.0,81568872000.0,108929038000.0,90227659000.0,2886796000.0,1209887000.0,1028577000.0,1054292000.0,594477000.0,730954000.0,520200000.0,346100000.0,187300000.0,104400000.0,22300000.0
,otherInvestingActivites,-9800000.0,-5300000.0,-1717300000.0,229000000.0,918600000.0,145800000.0,-452800000.0,1014300000.0,-785600000.0,-2800000.0,61733000.0,-1117778000.0,-19599000.0,354551000.0,616560000.0,188905000.0,-438000.0,141470000.0,62139000.0,174101000.0,419571000.0,204500000.0,253900000.0,292800000.0,-800000.0,-200000.0
,netCashUsedForInvestingActivites,771900000.0,-1628300000.0,-679000000.0,-424600000.0,-63100000.0,-285000000.0,-316100000.0,181700000.0,-1244300000.0,-409500000.0,-401322000.0,404462000.0,933165000.0,-440900000.0,-310050000.0,-222455000.0,-91327000.0,-198456000.0,-151258000.0,-197778000.0,-184174000.0,-108400000.0,-117400000.0,-55100000.0,-48200000.0,-41600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
