date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY,2016-05-29_FY,2015-05-31_FY,2014-05-25_FY,2013-05-26_FY,2012-05-27_FY,2011-05-29_FY,2010-05-30_FY,2009-05-31_FY,2008-05-25_FY,2007-05-27_FY,2006-05-28_FY,2005-05-29_FY,2004-05-30_FY,2003-05-25_FY,2002-05-26_FY,2001-05-27_FY,2000-05-28_FY,1999-05-30_FY,1998-05-31_FY,1997-05-25_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-52400000.0,713400000.0,596000000.0,479100000.0,375000000.0,709500000.0,286200000.0,411900000.0,475500000.0,476300000.0,404500000.0,372200000.0,377200000.0,201400000.0,338200000.0,290600000.0,227200000.0,232300000.0,237800000.0,197000000.0,176700000.0,140500000.0,101700000.0,-91000000.0
,depreciationAndAmortization,355900000.0,336700000.0,313100000.0,272900000.0,290200000.0,319300000.0,304400000.0,394800000.0,349100000.0,316800000.0,300900000.0,283100000.0,245700000.0,200400000.0,221500000.0,213200000.0,210000000.0,191200000.0,165800000.0,146900000.0,130500000.0,125300000.0,131000000.0,136900000.0
,deferredIncomeTax,-133600000.0,47500000.0,-20600000.0,-22900000.0,-10800000.0,42000000.0,-44900000.0,-2100000.0,36100000.0,28800000.0,-10200000.0,89500000.0,31100000.0,-27100000.0,-29800000.0,-24700000.0,16700000.0,35700000.0,22800000.0,11800000.0,24600000.0,14000000.0,0.0,-52100000.0
,stockBasedCompensation,53000000.0,59800000.0,42800000.0,40700000.0,37300000.0,53700000.0,38700000.0,49300000.0,56100000.0,66600000.0,53500000.0,41500000.0,48000000.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-109900000.0,249400000.0,-129600000.0,-334500000.0,-226500000.0,-498200000.0,1009400000.0,365000000.0,-393500000.0,-46900000.0,-34800000.0,127000000.0,-139300000.0,119500000.0,-11200000.0,-300100000.0,-22900000.0,-162800000.0,74700000.0,90200000.0,-109900000.0,-45300000.0,-18000000.0,14100000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,7800000.0,0.0,1000000.0,2000000.0,1000000.0,1000000.0,0.0,3000000.0,3000000.0,-600000.0,-6200000.0,-1300000.0,100000.0,3800000.0,-4900000.0,-7700000.0,7000000.0,0.0,8500000.0
,inventory,-13900000.0,-2100000.0,-26600000.0,5000000.0,-11800000.0,64500000.0,-25600000.0,50600000.0,-103000000.0,-79300000.0,26200000.0,-30200000.0,9000000.0,-14000000.0,36700000.0,-36600000.0,-25200000.0,-1200000.0,-24000000.0,-6200000.0,1900000.0,38300000.0,0.0,-11500000.0
,accountsPayables,-68500000.0,55000000.0,12600000.0,-9000000.0,45600000.0,-20900000.0,27200000.0,10800000.0,-10200000.0,5500000.0,27600000.0,-25200000.0,38000000.0,-23000000.0,-22000000.0,-16600000.0,1400000.0,-15900000.0,-3200000.0,-16400000.0,4200000.0,-11800000.0,0.0,15100000.0
,otherWorkingCapital,-691400000.0,-581500000.0,-830900000.0,-701300000.0,-366800000.0,-140300000.0,357900000.0,-651500000.0,-1016500000.0,-623000000.0,-576100000.0,-541300000.0,-668300000.0,-529000000.0,-648500000.0,-637300000.0,-337200000.0,-314300000.0,-151500000.0,-226200000.0,-316400000.0,-206500000.0,-161200000.0,-143200000.0
,otherNonCashItems,-9400000.0,73600000.0,139300000.0,17400000.0,95800000.0,13800000.0,185500000.0,71800000.0,71500000.0,81500000.0,65800000.0,50900000.0,21100000.0,251100000.0,58300000.0,60800000.0,66100000.0,31000000.0,31800000.0,23900000.0,2600000.0,-5400000.0,3700000.0,236500000.0
,netCashProvidedByOperatingActivites,711300000.0,1257200000.0,1001300000.0,898000000.0,778000000.0,471000000.0,770100000.0,949300000.0,761700000.0,892600000.0,902000000.0,782400000.0,734200000.0,606400000.0,717100000.0,583200000.0,525400000.0,509300000.0,508100000.0,420600000.0,337100000.0,348200000.0,236100000.0,189200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-459900000.0,-452000000.0,-396000000.0,-293000000.0,-228300000.0,-296500000.0,-414800000.0,-685600000.0,-639700000.0,-547700000.0,-432100000.0,-535300000.0,-431700000.0,-345200000.0,-338200000.0,-329200000.0,-354300000.0,-423300000.0,-318400000.0,-366400000.0,-271400000.0,-125900000.0,-112200000.0,-160300000.0
,acquisitionsNet,-56000000.0,0.0,-40400000.0,-764400000.0,0.0,0.0,0.0,-577400000.0,-58500000.0,0.0,0.0,0.0,-1198000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-207500000.0,-234800000.0,-231100000.0,-184800000.0,0.0,-3500000.0,-65300000.0,-407200000.0,-392000000.0,-100600000.0,-42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,3700000.0,1800000.0,9700000.0,8700000.0,26000000.0,21300000.0,5100000.0,12800000.0,13900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-9500000.0,186500000.0,220100000.0,213200000.0,486700000.0,-16200000.0,43500000.0,15100000.0,362300000.0,381900000.0,91200000.0,-3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5900000.0,0.0
,netCashUsedForInvestingActivites,-544000000.0,-462600000.0,-450900000.0,-1068900000.0,81700000.0,-235100000.0,-580800000.0,-1287000000.0,-721300000.0,-549900000.0,-426100000.0,-562400000.0,-1526700000.0,-295600000.0,-324600000.0,-313100000.0,-343300000.0,-420400000.0,-373800000.0,-352400000.0,-249800000.0,-96500000.0,-93600000.0,-124500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
