date,,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY
,acquisitionsNet,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000000.0,-18000000.0,-4000000.0,-40000000.0,-133000000.0,-69000000.0,-155000000.0,-329000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000000.0,-72301000.0,0.0,-20971000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,5056000.0,131581000.0,11995000.0,16804000.0,16099000.0,19008000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-2099000.0,52029000.0,87788000.0,-1576000.0,-29591000.0,-17387000.0,-35583000.0,-49440000.0,33559000.0,-82267000.0,-52843000.0,-53015000.0,-73548000.0,-47230000.0,-33970000.0,-5751000.0,1279000.0,-99302000.0,-65607000.0,-59052000.0,682000.0,852000.0,4400000.0,0.0,-10400000.0,-27700000.0,-2400000.0,-12700000.0,-4600000.0,2700000.0,14900000.0
,netCashUsedForInvestingActivites,-2099000.0,61029000.0,87788000.0,-1576000.0,-29091000.0,-17387000.0,-35583000.0,-44384000.0,165140000.0,-90859000.0,-144330000.0,-44580000.0,-115511000.0,-266029000.0,-193049000.0,-280665000.0,-428818000.0,-173378000.0,-143067000.0,-125284000.0,-124707000.0,-146878000.0,-112900000.0,-80400000.0,-49800000.0,-53800000.0,-17700000.0,-28500000.0,-23900000.0,-10500000.0,1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1313000.0,-126269000.0,-378000.0,-124230000.0,0.0,-2000.0,-173751000.0,-7059000.0,-123423000.0,-501193000.0,-137671000.0,-691175000.0,-6617704000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682000.0,159498000.0,3894000.0,8893000.0,14310000.0,14410000.0,17257000.0,17347000.0,7051000.0,7750000.0,1987000.0,1494000.0,3700000.0,11700000.0,15000000.0,10900000.0,100000.0,8400000.0,0.0,5800000.0,37800000.0
,commonStockRepurchased,0.0,-28246000.0,-152661000.0,-24798000.0,0.0,-101035000.0,-47888000.0,0.0,-14868000.0,0.0,0.0,0.0,0.0,-49957000.0,-79710000.0,-20280000.0,-23117000.0,-22548000.0,-21694000.0,-7743000.0,0.0,-1425000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
