date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,369100000.0,701500000.0,633700000.0,613400000.0,304300000.0,311500000.0,371500000.0,321600000.0,403500000.0,343800000.0,194353000.0,148158000.0,482777000.0,407955000.0,354507000.0,205437000.0,169728000.0,34010000.0,30167000.0,36336000.0,62319000.0,57600000.0,47700000.0,34200000.0,29800000.0
,depreciationAndAmortization,227300000.0,219300000.0,215200000.0,218400000.0,222000000.0,218500000.0,213800000.0,192400000.0,151500000.0,133100000.0,120603000.0,118884000.0,97924000.0,79873000.0,60325000.0,46631000.0,44627000.0,36870000.0,28546000.0,32337000.0,28092000.0,25600000.0,19400000.0,13200000.0,8500000.0
,deferredIncomeTax,-13700000.0,32500000.0,-9100000.0,-192600000.0,-500000.0,-17100000.0,-18200000.0,3100000.0,2800000.0,-27200000.0,42724000.0,58016000.0,22720000.0,12042000.0,7295000.0,-1059000.0,2726000.0,8120000.0,3577000.0,-2142000.0,231000.0,-200000.0,-200000.0,1300000.0,1500000.0
,stockBasedCompensation,42200000.0,51200000.0,45500000.0,33400000.0,24400000.0,21300000.0,22800000.0,26000000.0,23000000.0,21300000.0,17334000.0,15530000.0,13189000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,164900000.0,-251000000.0,238300000.0,315100000.0,468000000.0,-893800000.0,292800000.0,466300000.0,900000.0,505998000.0,218967000.0,-678872000.0,530668000.0,-3111000.0,611121000.0,69080000.0,102687000.0,-47858000.0,9629000.0,32332000.0,74659000.0,-18200000.0,77900000.0,76500000.0,2400000.0
,accountsReceivables,136800000.0,178100000.0,-153300000.0,-119700000.0,-31200000.0,222500000.0,-97200000.0,25400000.0,123100000.0,-145900000.0,-146743000.0,322163000.0,166025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,227500000.0,211800000.0,-88800000.0,-186600000.0,-30400000.0,306800000.0,-131000000.0,111900000.0,-1300000.0,-231000000.0,-121857000.0,569943000.0,191472000.0,129582000.0,-89414000.0,-11345000.0,-61699000.0,19995000.0,30150000.0,21468000.0,-25165000.0,35000000.0,-3300000.0,500000.0,-6700000.0
,accountsPayables,-43400000.0,-142500000.0,-10600000.0,34200000.0,47500000.0,-78900000.0,-24200000.0,-49700000.0,-88800000.0,107600000.0,79388000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2499800000.0,2334900000.0,2585900000.0,2347600000.0,2032500000.0,1564500000.0,2458300000.0,2165500000.0,1699200000.0,1698300000.0,1192302000.0,973335000.0,1652207000.0,1121539000.0,1124650000.0,513529000.0,444449000.0,341762000.0,389620000.0,379991000.0,347659000.0,273000000.0,291200000.0,213300000.0,136800000.0
,otherNonCashItems,13900000.0,9500000.0,12300000.0,7700000.0,7700000.0,9800000.0,-3600000.0,-400000.0,0.0,3900000.0,320000.0,1120000.0,5231000.0,840000.0,-232000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,1173000000.0,1301500000.0,664600000.0,399000000.0,626500000.0,1025000000.0,356000000.0,633300000.0,601900000.0,234800000.0,214087000.0,942996000.0,664684000.0,638964000.0,190964000.0,272219000.0,121768000.0,106414000.0,90744000.0,103587000.0,24464000.0,131400000.0,30900000.0,39800000.0,36400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-172000000.0,-242200000.0,-239900000.0,-161600000.0,-154900000.0,-172200000.0,-190400000.0,-168000000.0,-214000000.0,-156400000.0,-111356000.0,-69901000.0,-151890000.0,-124127000.0,-108742000.0,-53740000.0,-35982000.0,-20909000.0,-18658000.0,-24539000.0,-30379000.0,-112500000.0,-176100000.0,-107100000.0,-21400000.0
,acquisitionsNet,-7000000.0,-178000000.0,-78000000.0,-38000000.0,-349000000.0,0.0,-182000000.0,-821000000.0,-167000000.0,-313000000.0,-100000000.0,0.0,-330000000.0,-270000000.0,-543000000.0,-94000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8500000.0,0.0,-31544000.0,0.0,0.0,-3096000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,46738000.0,6576000.0,6524000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-16200000.0,-7100000.0,7300000.0,-7600000.0,-1500000.0,2700000.0,7400000.0,800000.0,0.0,-5400000.0,0.0,6576000.0,-1155000.0,-30769000.0,521000.0,0.0,-16948000.0,0.0,444000.0,6924000.0,2622000.0,13000000.0,1300000.0,5300000.0,-94500000.0
,netCashUsedForInvestingActivites,-188400000.0,-419100000.0,-281000000.0,-179400000.0,-505100000.0,-169900000.0,-365000000.0,-979000000.0,-381700000.0,-474600000.0,-161783000.0,-93585000.0,-457654000.0,-419808000.0,-650434000.0,-146632000.0,-49649000.0,-263739000.0,-68237000.0,-145703000.0,-68249000.0,-94000000.0,-172400000.0,-98500000.0,-114800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
