Date,1998-12,1997-12,1996-12,1995-12,1994-12
Cash and cash equivalents,6000000.0,24000000.0,4000000.0,3000000.0,000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,102000000.0,79000000.0,18000000.0,15000000.0,000000.0
Inventories,000000.0,000000.0,000000.0,6000000.0,000000.0
Total current assets,2321000000.0,2233000000.0,601000000.0,496000000.0,000000.0
Property, Plant & Equipment Net,1110000000.0,960000000.0,320000000.0,332000000.0,000000.0
Goodwill and Intangible Assets,392000000,374000000,0,0,0
Long-term investments,277000000.0,301000000.0,000000.0,000000.0,000000.0
Tax assets,,,,,
Total non-current assets,1133000000.0,1016000000.0,000000.0,000000.0,000000.0
Total assets,2474000000.0,2379000000.0,632000000.0,520000000.0,000000.0
Payables,000000.0,000000.0,21000000.0,18000000.0,000000.0
Short-term debt,2000000.0,46000000.0,0000000.0,0000000.0,000000.0
Total current liabilities,182000000.0,267000000.0,58000000.0,55000000.0,000000.0
Long-term debt,769000000.0,672000000.0,244000000.0,230000000.0,000000.0
Total debt,769000000.0,672000000.0,244000000.0,230000000.0,000000.0
Deferred revenue,,,,,
Tax Liabilities,276000000.0,265000000.0,41000000.0,32000000.0,000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1133000000.0,1016000000.0,000000.0,000000.0,000000.0
Total liabilities,1315000000.0,1283000000.0,58000000.0,55000000.0,000000.0
Other comprehensive income,-3000000.0,14000000.0,158000000.0,142000000.0,000000.0
Retained earnings (deficit),379000000.0,225000000.0,90000000.0,25000000.0,000000.0
Total shareholders equity,1159000000.0,1096000000.0,248000000.0,167000000.0,000000.0
Investments,277000000.0,301000000.0,000000.0,000000.0,000000.0
Net Debt,765000000,694000000,240000000,227000000,0
Other Assets,586000000,640000000,290000000,164000000,0
Other Liabilities,268000000,301000000,-248000000,-225000000,0
