date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,120101000.0,136440000.0,124150000.0,26027000.0,91936000.0,70807000.0,88506000.0,88247000.0,90637000.0,69852000.0,38104000.0,43295000.0,70422000.0,67588000.0,63918000.0,81783000.0,71047000.0,65267000.0,35077000.0,31631000.0,23239000.0,15100000.0,18300000.0,21900000.0,23100000.0,18900000.0,15300000.0,10600000.0,2600000.0,18700000.0,29200000.0
,depreciationAndAmortization,39674000.0,38020000.0,37852000.0,37877000.0,35273000.0,31684000.0,29921000.0,30764000.0,31702000.0,32866000.0,29192000.0,27362000.0,27647000.0,24363000.0,22147000.0,24345000.0,25496000.0,23208000.0,21525000.0,26471000.0,24557000.0,23400000.0,22400000.0,21500000.0,22400000.0,20000000.0,18500000.0,17300000.0,16800000.0,17900000.0,15000000.0
,deferredIncomeTax,-3322000.0,1272000.0,-4065000.0,-31320000.0,14393000.0,-1699000.0,-5388000.0,-3234000.0,213000.0,8800000.0,3588000.0,-5929000.0,9645000.0,5661000.0,-1932000.0,2294000.0,7106000.0,4922000.0,4765000.0,9518000.0,3906000.0,3300000.0,7600000.0,7400000.0,-2500000.0,-600000.0,100000.0,-100000.0,100000.0,-2000000.0,-3200000.0
,stockBasedCompensation,6920000.0,13760000.0,12239000.0,11758000.0,9211000.0,7599000.0,9053000.0,10337000.0,10010000.0,7732000.0,7335000.0,5860000.0,5456000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,27879000.0,41291000.0,41545000.0,81622000.0,-1726000.0,-10690000.0,-45590000.0,34654000.0,-12331000.0,-8569000.0,30073000.0,7487000.0,-29773000.0,-1563000.0,43057000.0,-24226000.0,62066000.0,25283000.0,48058000.0,21011000.0,-8925000.0,3900000.0,2800000.0,-20200000.0,-20000000.0,-9900000.0,2300000.0,-13100000.0,-8100000.0,-2300000.0,3600000.0
,accountsReceivables,7677000.0,0.0,-10075000.0,-6384000.0,13239000.0,-21959000.0,-23480000.0,-13171000.0,2346000.0,-217000.0,-10191000.0,33050000.0,-6907000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-8601000.0,-23246000.0,-11122000.0,-30363000.0,14394000.0,-9403000.0,-600000.0,-6296000.0,2677000.0,-1230000.0,-10744000.0,47105000.0,-19482000.0,-8285000.0,-5374000.0,-1348000.0,-27422000.0,-3162000.0,5518000.0,-6146000.0,11927000.0,5300000.0,-7800000.0,-4000000.0,6600000.0,-6700000.0,4500000.0,6300000.0,11900000.0,-11500000.0,-1100000.0
,accountsPayables,13541000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,443733000.0,415854000.0,374563000.0,333018000.0,251396000.0,253122000.0,263812000.0,309402000.0,274748000.0,287079000.0,295648000.0,265575000.0,258088000.0,287861000.0,289424000.0,246367000.0,270593000.0,208527000.0,183244000.0,135186000.0,114175000.0,123100000.0,119200000.0,116400000.0,136600000.0,156600000.0,166500000.0,164200000.0,177300000.0,185400000.0,187700000.0
,otherNonCashItems,20566000.0,-12387000.0,80661000.0,133722000.0,8668000.0,-48645000.0,-58650000.0,-13776000.0,-13001000.0,-25953000.0,-36459000.0,-9933000.0,-25219000.0,-21367000.0,8777000.0,5329000.0,6677000.0,-2554000.0,1457000.0,1046000.0,-4025000.0,-6000000.0,900000.0,-100000.0,-100000.0,100000.0,0.0,200000.0,7800000.0,1100000.0,11100000.0
,netCashProvidedByOperatingActivites,206555000.0,164962000.0,263887000.0,230336000.0,134894000.0,55254000.0,107031000.0,110781000.0,150476000.0,85258000.0,31606000.0,120846000.0,59785000.0,41345000.0,62843000.0,86004000.0,53842000.0,40540000.0,49331000.0,30836000.0,52268000.0,39400000.0,21400000.0,30900000.0,56500000.0,35600000.0,40700000.0,24600000.0,36900000.0,21400000.0,55700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25737000.0,-44450000.0,-32884000.0,-22734000.0,-21664000.0,-27330000.0,-19628000.0,-19946000.0,-22347000.0,-19360000.0,-26200000.0,-34300000.0,-35300000.0,-21600000.0,-19100000.0,-22600000.0,-20400000.0,-22800000.0,-18400000.0,-25300000.0
,acquisitionsNet,0.0,-33000000.0,0.0,-215000000.0,-18000000.0,-180000000.0,0.0,0.0,0.0,0.0,-262000000.0,0.0,-2000000.0,-7000000.0,-31000000.0,-17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-199318000.0,-169245000.0,-73022000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,175000000.0,174670000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,0.0,-5269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63042000.0,0.0,0.0,0.0,-5000000.0,-1800000.0,-2400000.0,-10300000.0,-2200000.0,6100000.0,-4200000.0,500000.0,-2700000.0,-300000.0
