date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1145000000.0,-1280000000.0,267000000.0,160000000.0,745000000.0,791000000.0,515000000.0,306000000.0,64000000.0,942000000.0,2354000000.0,361000000.0,1064000000.0,778000000.0,521000000.0,530000000.0,469000000.0,411000000.0,255000000.0,134000000.0,12000000.0,-5000000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385000000.0,324000000.0,278000000.0,212000000.0,184000000.0,171000000.0,167000000.0,149000000.0,0.0
,deferredIncomeTax,71000000.0,-24000000.0,6000000.0,-23000000.0,126000000.0,16000000.0,-90000000.0,474000000.0,-32000000.0,-217000000.0,160000000.0,-204000000.0,-251000000.0,-62000000.0,-191000000.0,-238000000.0,-56000000.0,-17000000.0,-4000000.0,-11000000.0,-17000000.0,0.0
,stockBasedCompensation,71000000.0,39000000.0,46000000.0,29000000.0,44000000.0,46000000.0,49000000.0,53000000.0,44000000.0,49000000.0,60000000.0,17000000.0,66000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4970000000.0,-243000000.0,-292000000.0,780000000.0,-168000000.0,-801000000.0,-860000000.0,-466000000.0,-478000000.0,370000000.0,235000000.0,474000000.0,-582000000.0,1806000000.0,931000000.0,181000000.0,285000000.0,826000000.0,717000000.0,257000000.0,681000000.0,0.0
,accountsReceivables,-255000000.0,-257000000.0,-110000000.0,95000000.0,-131000000.0,-97000000.0,108000000.0,148000000.0,-373000000.0,267000000.0,-1560000000.0,242000000.0,-338000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-2298000000.0,504000000.0,-1107000000.0,-130000000.0,-269000000.0,314000000.0,-161000000.0,238000000.0,-1567000000.0,530000000.0,-1894000000.0,1636000000.0,-905000000.0,-1743000000.0,-729000000.0,-11000000.0,328000000.0,-249000000.0,-728000000.0,-303000000.0,-311000000.0,0.0
,accountsPayables,97000000.0,-498000000.0,335000000.0,25000000.0,708000000.0,-88000000.0,-100000000.0,436000000.0,554000000.0,-295000000.0,1305000000.0,-1427000000.0,1161000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-2507000000.0,3653000000.0,3896000000.0,4188000000.0,3408000000.0,3576000000.0,4377000000.0,5237000000.0,5703000000.0,6181000000.0,5811000000.0,5576000000.0,5102000000.0,5684000000.0,3878000000.0,2947000000.0,2766000000.0,2481000000.0,1655000000.0,938000000.0,681000000.0,0.0
,otherNonCashItems,55000000.0,-12000000.0,20000000.0,24000000.0,15000000.0,-26000000.0,-76000000.0,31000000.0,-36000000.0,2000000.0,315000000.0,116000000.0,322000000.0,164000000.0,85000000.0,0.0,5000000.0,-190000000.0,0.0,5000000.0,1000000.0,0.0
,netCashProvidedByOperatingActivites,-3536000000.0,-808000000.0,-1264000000.0,1006000000.0,1904000000.0,610000000.0,1399000000.0,2225000000.0,-457000000.0,2614000000.0,-2435000000.0,-368000000.0,2543000000.0,-411000000.0,-289000000.0,382000000.0,802000000.0,-41000000.0,130000000.0,209000000.0,-521000000.0,37000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-658000000.0,-503000000.0,-522000000.0,-437000000.0,-304000000.0,-242000000.0,-230000000.0,-184000000.0,0.0
,acquisitionsNet,194000000.0,729000000.0,-980000000.0,-353000000.0,-34000000.0,-347000000.0,-39000000.0,395000000.0,-298000000.0,-192000000.0,-252000000.0,-136000000.0,-131000000.0,-153000000.0,-74000000.0,-50000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-337000000.0,-393000000.0,-1184000000.0,-964000000.0,-928000000.0,-235000000.0,-196000000.0,-68000000.0,-83000000.0,-99000000.0,0.0,0.0,-94000000.0,-39000000.0,-91000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,370000000.0,393000000.0,1164000000.0,961000000.0,802000000.0,498000000.0,282000000.0,134000000.0,108000000.0,95000000.0,0.0,0.0,0.0,23000000.0,11000000.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0
,otherInvestingActivites,1965000000.0,1318000000.0,1907000000.0,-18000000.0,31000000.0,-3000000.0,142000000.0,134000000.0,2000000.0,-40000000.0,3769000000.0,74000000.0,47000000.0,-22000000.0,-3000000.0,47000000.0,-63000000.0,82000000.0,0.0,55000000.0,164000000.0,-108000000.0
,netCashUsedForInvestingActivites,1813000000.0,1503000000.0,410000000.0,-1162000000.0,-926000000.0,-802000000.0,-685000000.0,-429000000.0,-967000000.0,-1220000000.0,2509000000.0,-952000000.0,-1106000000.0,-794000000.0,-611000000.0,-480000000.0,-841000000.0,60000000.0,-1073000000.0,-179000000.0,-91000000.0,-108000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-33975000000.0,-6008000000.0,-10515000000.0,-9234000000.0,-10763000000.0,-9185000000.0,-14468000000.0,-10370000000.0,-6131000000.0,-4523000000.0,-4297000000.0,-3406000000.0,-4712000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,25000000.0,74000000.0,43000000.0,23000000.0,23000000.0,6000000.0,763000000.0,7000000.0,877000000.0,693000000.0,13000000.0,348000000.0,7000000.0,293000000.0,278000000.0,163000000.0,0.0
