date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,299000000.0,604000000.0,639000000.0,504000000.0,214900000.0,182300000.0,228600000.0,165400000.0,514200000.0,103000000.0,29600000.0
,depreciationAndAmortization,148000000.0,167000000.0,164000000.0,170000000.0,175900000.0,185400000.0,192600000.0,204000000.0,252500000.0,255700000.0,253800000.0
,deferredIncomeTax,69000000.0,65000000.0,52000000.0,-50000000.0,114200000.0,96000000.0,131800000.0,98000000.0,-303800000.0,39800000.0,51500000.0
,stockBasedCompensation,17000000.0,13000000.0,13000000.0,12000000.0,9400000.0,9800000.0,14700000.0,13700000.0,6400000.0,8000000.0,8500000.0
,changeInWorkingCapital,114000000.0,-30000000.0,84000000.0,9600000.0,-106800000.0,-99900000.0,192400000.0,107200000.0,-140300000.0,261600000.0,6300000.0
,accountsReceivables,28000000.0,37000000.0,-61000000.0,-19000000.0,-3700000.0,9000000.0,-35800000.0,-9900000.0,29900000.0,-25000000.0,23700000.0
,inventory,21000000.0,-11000000.0,-18000000.0,-25000000.0,15400000.0,-2200000.0,12700000.0,-4400000.0,-1800000.0,-11000000.0,-11800000.0
,accountsPayables,-4000000.0,-25000000.0,9000000.0,30000000.0,1900000.0,-25100000.0,2100000.0,17600000.0,-29400000.0,24900000.0,3200000.0
,otherWorkingCapital,383000000.0,269000000.0,299000000.0,215000000.0,205400000.0,312200000.0,412100000.0,219700000.0,112500000.0,252800000.0,-8800000.0
,otherNonCashItems,26000000.0,11000000.0,10000000.0,6000000.0,18500000.0,35300000.0,13300000.0,10700000.0,14300000.0,158500000.0,13700000.0
,netCashProvidedByOperatingActivites,561000000.0,847000000.0,837000000.0,658000000.0,590800000.0,579900000.0,556900000.0,453500000.0,497500000.0,469200000.0,388900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96900000.0,0.0
,acquisitionsNet,4000000.0,-232000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1000000.0,-3000000.0,-3000000.0,-1000000.0,-1900000.0,-4100000.0,-8800000.0,-15400000.0,0.0,-21800000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0
,otherInvestingActivites,-115000000.0,-172000000.0,-100000000.0,-91000000.0,-70400000.0,-57800000.0,-63800000.0,-73900000.0,-123300000.0,41000000.0,-73500000.0
,netCashUsedForInvestingActivites,-111000000.0,-405000000.0,-103000000.0,-94000000.0,-71400000.0,-59700000.0,-67900000.0,-81500000.0,-138700000.0,-55900000.0,-95300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1819000000.0,-1241000000.0,-28000000.0,-427000000.0,-1215200000.0,-607700000.0,-157600000.0,-142400000.0,-574800000.0,-854900000.0,-197900000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,0.0,0.0
,commonStockRepurchased,-225000000.0,-393000000.0,-609000000.0,-885000000.0,-256200000.0,-305800000.0,-249800000.0,-99500000.0,0.0,0.0,0.0
,dividendsPaid,-78000000.0,-73000000.0,-80000000.0,-89000000.0,-100600000.0,-105600000.0,-91600000.0,-77100000.0,-32800000.0,0.0,0.0
,otherFinancingActivites,-15000000.0,-16000000.0,-5000000.0,-7000000.0,-16400000.0,-2500000.0,15300000.0,-4800000.0,-14900000.0,-15000000.0,0.0
,netCashUsedProvidedByFinancingActivities,-335000000.0,-480000000.0,-700000000.0,-574000000.0,-564700000.0,-528700000.0,-424100000.0,-277500000.0,-593500000.0,-369900000.0,-197900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3000000.0,-1000000.0,-2000000.0,4000000.0,-1600000.0,-2900000.0,13400000.0,10000000.0,900000.0,18400000.0,3400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,118000000.0,-39000000.0,32000000.0,-6000000.0,-46900000.0,-11400000.0,78300000.0,104500000.0,-233800000.0,61800000.0,99100000.0
,cashAtEndOfPeriod,310000000.0,192000000.0,231000000.0,199000000.0,204700000.0,251600000.0,263000000.0,184700000.0,80200000.0,314000000.0,252200000.0
,cashAtBeginningOfPeriod,192000000.0,231000000.0,199000000.0,205000000.0,251600000.0,263000000.0,184700000.0,80200000.0,314000000.0,252200000.0,153100000.0
,operatingCashFlow,561000000.0,847000000.0,837000000.0,658000000.0,590800000.0,579900000.0,556900000.0,453500000.0,497500000.0,469200000.0,388900000.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96900000.0,0.0
,freeCashFlow,561000000.0,847000000.0,837000000.0,658000000.0,590800000.0,579900000.0,556900000.0,453500000.0,497500000.0,372300000.0,388900000.0
