date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,269726000.0,431131000.0,626961000.0,304924000.0,-41280000.0,119472000.0,414900000.0,285800000.0,159300000.0,174200000.0,99400000.0,-978800000.0,-156200000.0,-144100000.0,187100000.0,869700000.0,164900000.0,167400000.0,1953100000.0,383600000.0,-148000000.0,-27600000.0,76900000.0,13100000.0,-6500000.0
,depreciationAndAmortization,210867000.0,180994000.0,183759000.0,116408000.0,151102000.0,202157000.0,119100000.0,118700000.0,88300000.0,78800000.0,91400000.0,218400000.0,110800000.0,95600000.0,95100000.0,312200000.0,312200000.0,336800000.0,253700000.0,416700000.0,420100000.0,893600000.0,724100000.0,77700000.0,18700000.0
,deferredIncomeTax,-31920000.0,-80101000.0,-34679000.0,-285278000.0,-119181000.0,-59786000.0,76900000.0,-9100000.0,37100000.0,-35500000.0,-6100000.0,27700000.0,-153500000.0,-4400000.0,77100000.0,-1076700000.0,-5100000.0,-113200000.0,-37500000.0,11800000.0,21400000.0,9500000.0,77200000.0,22500000.0,400000.0
,stockBasedCompensation,197220000.0,240788000.0,238420000.0,264618000.0,104820000.0,105450000.0,59634000.0,53005000.0,85625000.0,88588000.0,84280000.0,69886000.0,86539000.0,105612000.0,92344000.0,137537000.0,241726000.0,128185000.0,15899000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-62282000.0,820209000.0,553704000.0,196130000.0,-47117000.0,314464000.0,-26000000.0,356000000.0,-93000000.0,-562000000.0,-523000000.0,-195000000.0,213000000.0,1000000.0,-245000000.0,-288000000.0,-113000000.0,-732000000.0,1688000000.0,1026000000.0,-26000000.0,-62000000.0,382000000.0,85000000.0,-31000000.0
,accountsReceivables,-139116000.0,-91435000.0,-34828000.0,-115169000.0,1283000.0,-29680000.0,-19918000.0,10421000.0,-30991000.0,-58314000.0,-32901000.0,-16300000.0,7653000.0,-68485000.0,-69323000.0,-60562000.0,-70427000.0,-73303000.0,70908000.0,382000000.0,-204000000.0,-70000000.0,-275000000.0,-40000000.0,-53000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14754000.0,-26067000.0,1816000.0,-23079000.0,-6083000.0,4243000.0,207000000.0,58000000.0,-40000000.0,-271000000.0,-50000000.0,-101000000.0
,accountsPayables,11566000.0,41882000.0,53555000.0,-14142000.0,-52359000.0,8989000.0,5206000.0,-766000.0,-14384000.0,57228000.0,54188000.0,17414000.0,-80638000.0,3481000.0,-1504000.0,606566000.0,151764000.0,409493000.0,-58216000.0,-38000000.0,-76000000.0,-27000000.0,-73000000.0,-90000000.0,-95000000.0
,otherWorkingCapital,69270000.0,2699390000.0,1879181000.0,1325477000.0,1129347000.0,1176464000.0,862000000.0,888000000.0,532000000.0,625000000.0,1187000000.0,1710000000.0,1905000000.0,1692000000.0,1691000000.0,1936000000.0,2224000000.0,2337000000.0,3069000000.0,1381000000.0,355000000.0,381000000.0,443000000.0,61000000.0,-24000000.0
,otherNonCashItems,26986000.0,326113000.0,30629000.0,322522000.0,347551000.0,100943000.0,-119200000.0,-22100000.0,64600000.0,95000000.0,34500000.0,917500000.0,263200000.0,1091800000.0,643600000.0,43700000.0,911600000.0,838800000.0,66100000.0,343900000.0,-6800000.0,-576600000.0,-441200000.0,17200000.0,-29100000.0
,netCashProvidedByOperatingActivites,154581000.0,937939000.0,988128000.0,416699000.0,344238000.0,405671000.0,423900000.0,409100000.0,351100000.0,364000000.0,333200000.0,323800000.0,118900000.0,870800000.0,827400000.0,681400000.0,1240300000.0,1188300000.0,308900000.0,691600000.0,173600000.0,335300000.0,236400000.0,47700000.0,12000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,-78039000.0,-62049000.0,-57233000.0,-80311000.0,-51201000.0,-39954000.0,-39829000.0,-33900000.0,-59000000.0,-112900000.0,-144900000.0,-216700000.0,-156000000.0,-138500000.0,-114100000.0,-127400000.0,-160400000.0,-108900000.0,-76500000.0,-45900000.0,-1100000.0
,acquisitionsNet,0.0,-205726000.0,-64496000.0,-149094000.0,-18403000.0,-617402000.0,-259391000.0,-40690000.0,-411035000.0,-278469000.0,-17333000.0,-85534000.0,-148631000.0,-191882000.0,-117580000.0,-693388000.0,-486033000.0,-1092009000.0,-560465000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1670588000.0,-59639000.0,-583131000.0,-86315000.0,-622891000.0,-293134000.0,-175826000.0,-264214000.0,-745782000.0,-711735000.0,-539598000.0,-586274000.0,-169958000.0,-783783000.0,-934769000.0,-2158694000.0,-3373143000.0,-497038000.0,-728589000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,475000000.0,0.0,470319000.0,114350000.0,252369000.0,218462000.0,21644000.0,12502000.0,195501000.0,584935000.0,763326000.0,229583000.0,356252000.0,1367178000.0,1543818000.0,3124145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,43292000.0,0.0,89502000.0,350440000.0,732195000.0,389864000.0,52656000.0,305198000.0,855930000.0,1004972000.0,478664000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1872141000.0,-329529000.0,-44682000.0,42049000.0,12862000.0,-582721000.0,-439800000.0,-79800000.0,-341300000.0,-25200000.0,-118100000.0,-422600000.0,934000000.0,71800000.0,481100000.0,2084200000.0,-751600000.0,-1769500000.0,670800000.0,-521900000.0,-408000000.0,-414000000.0,-1201900000.0,-82300000.0,-2600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
