Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,1928888.8889,5743912.0189,8873511.9048
Short-term investments,11722222.2222,952867.2427,690476.1905
Cash and short-term investments,13651111.1111,6696779.2616,9563988.0953
Receivables,3459259.2593,3633150.0393,3349702.381
Inventories,14048148.1481,17267871.1705,17610863.0952
Total current assets,32904444.4444,29618224.6661,33707589.2857
Property Plant & Equipment Net,23439259.2593,26572663.0008,17805803.5714
Goodwill and Intangible Assets,1928148.1481,2354281.2255,2328869.0476
Long-term investments,349629.6296,377062.0581,415178.5714
Tax assets,0.0,0.0,0.0
Total non-current assets,25717037.037,29304006.2844,20549851.1905
Total assets,58621481.4815,58922230.9505,54257440.4762
Payables,14848888.8889,9267085.6245,10102678.5714
Short-term debt,42470370.3704,23415553.8099,16813988.0952
Total current liabilities,60374814.8148,35200314.2184,28938244.0476
Long-term debt,12752592.5926,22572663.0008,19796130.9524
Total debt,55222962.963,45988216.8107,36610119.0476
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,1170370.3704,1208955.2239,286458.3333
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,14205925.9259,69063629.2223,112552083.3333
Total liabilities,74580740.7407,104263943.4407,141490327.381
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-87143703.7037,-64732914.3755,-102507440.4762
Total shareholders equity,-16117777.7778,-44209740.7698,-86531250.0
Investments,12071851.8519,1329929.3009,1105654.7619
Net Debt,,,
Other Assets,,,
Other Liabilities,3055555.5555,2517674.784,2021577.381
