date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3748000000.0,2666000000.0,3059000000.0,2152000000.0,2816000000.0,1883000000.0,2665000000.0,1768000000.0,1706000000.0,1320000000.0,1075000000.0,1362000000.0,1500000000.0,1863000000.0
,depreciationAndAmortization,5176000000.0,4696000000.0,4046000000.0,3880000000.0,3613000000.0,3507000000.0,3229000000.0,2652000000.0,2026000000.0,1994000000.0,1846000000.0,0.0,0.0,0.0
,deferredIncomeTax,806000000.0,1079000000.0,1433000000.0,900000000.0,1244000000.0,1149000000.0,1264000000.0,584000000.0,602000000.0,741000000.0,941000000.0,485000000.0,669000000.0,250000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-873000000.0,-1163000000.0,-1220000000.0,-7000000.0,-307000000.0,-669000000.0,-920000000.0,-3000000.0,-294000000.0,699000000.0,-13000000.0,-383000000.0,-292000000.0,795000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0
,inventory,-122000000.0,156000000.0,268000000.0,272000000.0,-237000000.0,-269000000.0,-31000000.0,-258000000.0,-247000000.0,198000000.0,-298000000.0,-209000000.0,-36000000.0,-24000000.0
,accountsPayables,-164000000.0,479000000.0,-204000000.0,266000000.0,-6000000.0,-30000000.0,73000000.0,131000000.0,41000000.0,167000000.0,-80000000.0,0.0,0.0,0.0
,otherWorkingCapital,-623000000.0,-1025000000.0,-480000000.0,-352000000.0,-488000000.0,201000000.0,-747000000.0,-208000000.0,-48000000.0,15000000.0,4000000.0,310000000.0,499000000.0,817000000.0
,otherNonCashItems,-389000000.0,-963000000.0,-827000000.0,-870000000.0,-812000000.0,-150000000.0,-373000000.0,-404000000.0,-596000000.0,34000000.0,69000000.0,27000000.0,0.0,26000000.0
,netCashProvidedByOperatingActivites,8209000000.0,7186000000.0,6634000000.0,6798000000.0,6676000000.0,6586000000.0,6382000000.0,5244000000.0,3672000000.0,4511000000.0,3463000000.0,3328000000.0,3208000000.0,3726000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11122000000.0,-9389000000.0,-8052000000.0,-7901000000.0,-6766000000.0,-5384000000.0,-5526000000.0,-5501000000.0,-4372000000.0,-4817000000.0,-4389000000.0,-4386000000.0,-3125000000.0,-3381000000.0
,acquisitionsNet,-3348000000.0,-3762000000.0,-4071000000.0,-4778000000.0,-1334000000.0,-54000000.0,0.0,-380000000.0,-51000000.0,0.0,-124000000.0,-389000000.0,-66000000.0,-137000000.0
,purchasesOfInvestments,-3348000000.0,-3762000000.0,-4071000000.0,-5460000000.0,-4300000000.0,-4200000000.0,-6223000000.0,-4725000000.0,-3244000000.0,-2218000000.0,-3150000000.0,-7353000000.0,-23639000000.0,-33436000000.0
,salesMaturitiesOfInvestments,3343000000.0,3747000000.0,4098000000.0,5236000000.0,4040000000.0,4133000000.0,6315000000.0,4537000000.0,3181000000.0,2667000000.0,3058000000.0,7454000000.0,24613000000.0,32748000000.0
,otherInvestingActivites,-517000000.0,-418000000.0,-279000000.0,-48000000.0,115000000.0,132000000.0,456000000.0,-128000000.0,43000000.0,-79000000.0,46000000.0,-29000000.0,66000000.0,2624000000.0
,netCashUsedForInvestingActivites,-11957000000.0,-10060000000.0,-8450000000.0,-11533000000.0,-5277000000.0,-5373000000.0,-4978000000.0,-6197000000.0,-4434000000.0,-4423000000.0,-4492000000.0,-4611000000.0,-2151000000.0,-1328000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4253000000.0,-3188000000.0,-2997000000.0,-5451000000.0,-3960000000.0,-3601000000.0,-2761000000.0,-2498000000.0,-278000000.0,-1702000000.0,-2081000000.0,0.0,0.0,0.0
,commonStockIssued,384000000.0,1838000000.0,0.0,731000000.0,0.0,0.0,0.0,0.0,67000000.0,302000000.0,519000000.0,133000000.0,50000000.0,127000000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-1500000000.0,0.0,-96000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-512000000.0
,dividendsPaid,-2668000000.0,-2471000000.0,-2450000000.0,-2332000000.0,-2254000000.0,-2234000000.0,-2188000000.0,-1752000000.0,-1329000000.0,-1284000000.0,-1259000000.0,-1143000000.0,-1089000000.0,-1488000000.0
,otherFinancingActivites,817000000.0,29000000.0,1000000.0,3000000.0,-12000000.0,-34000000.0,15000000.0,46000000.0,172000000.0,-14000000.0,-3000000.0,10000000.0,-370000000.0,53000000.0
,netCashUsedProvidedByFinancingActivities,3730000000.0,2960000000.0,1782000000.0,4270000000.0,-2578000000.0,-678000000.0,-1327000000.0,267000000.0,1202000000.0,40000000.0,1585000000.0,1591000000.0,-1327000000.0,-1961000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
