Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,50874000.0,8770000.0,9000000.0,2596000.0,3000000.0,2407000.0,2000000.0,6270000.0,6000000.0,934000.0,1000000.0,2849000.0,0.0
Short-term investments,14232000.0,64237000.0,64000000.0,289806000.0,290000000.0,284523000.0,285000000.0,185244000.0,185000000.0,85916000.0,86000000.0,50601000.0,0.0
Cash and short-term investments,65106000.0,73007000.0,64000000.0,292402000.0,290000000.0,286930000.0,285000000.0,191514000.0,185000000.0,86850000.0,86000000.0,53450000.0,0.0
Receivables,182465000.0,185979000.0,187000000.0,138265000.0,139000000.0,144778000.0,146000000.0,180761000.0,182000000.0,173720000.0,176000000.0,141153000.0,0.0
Inventories,56698000.0,80881000.0,81000000.0,70402000.0,70000000.0,69491000.0,69000000.0,73793000.0,74000000.0,71137000.0,71000000.0,66074000.0,0.0
Total current assets,316638000.0,352613000.0,1049000000.0,521666000.0,927000000.0,521290000.0,909000000.0,466524000.0,910000000.0,354658000.0,819000000.0,363146000.0,0.0
Property Plant & Equipment Net,902485000.0,946765000.0,947000000.0,903977000.0,904000000.0,883529000.0,884000000.0,877818000.0,878000000.0,785472000.0,785000000.0,749501000.0,0.0
Goodwill and Intangible Assets,0.0,78022000.0,78000000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,-471790000.0,397301000.0,3000000.0,-353160000.0,4000000.0,15336000.0,18000000.0,15485000.0,18000000.0,14685000.0,15000000.0,14685000.0,0.0
Tax assets,4944000.0,3309000.0,3000000.0,10798000.0,000000.0,10379000.0,000000.0,9915000.0,000000.0,12723000.0,000000.0,11967000.0,0.0
Total non-current assets,945588000.0,1049233000.0,710000000.0,926774000.0,792000000.0,909042000.0,727000000.0,909556000.0,698000000.0,818665000.0,522000000.0,784748000.0,0.0
Total assets,1262226000.0,1401846000.0,1402000000.0,1448440000.0,1448000000.0,1430332000.0,1430000000.0,1376080000.0,1376000000.0,1173323000.0,1173000000.0,1147894000.0,0.0
Payables,50289000.0,37186000.0,37000000.0,28704000.0,29000000.0,31373000.0,31000000.0,27700000.0,28000000.0,36874000.0,37000000.0,26308000.0,0.0
Short-term debt,499740000.0,113387000.0,,-57904000.0,,90943000.0,,-95270000.0,,129026000.0,,115300000.0,0.0
Total current liabilities,595321000.0,79036000.0,79000000.0,57050000.0,57000000.0,76132000.0,76000000.0,80512000.0,81000000.0,91405000.0,91000000.0,143470000.0,0.0
Long-term debt,0.0,117500000.0,616000000.0,134000000.0,631000000.0,557500000.0,558000000.0,543000000.0,543000000.0,379000000.0,379000000.0,386755000.0,0.0
Total debt,499740000.0,230887000.0,616000000.0,76096000.0,631000000.0,648443000.0,558000000.0,447730000.0,543000000.0,508026000.0,379000000.0,502055000.0,0.0
Deferred revenue,260000.0,0.0,,0.0,,0.0,,0.0,,0.0,,76410000.0,0.0
Tax Liabilities,895000.0,930000.0,86000000.0,587000.0,152000000.0,1453000.0,154000000.0,3787000.0,141000000.0,6790000.0,127000000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,64237000.0,211662000.0,710000000.0,294365000.0,792000000.0,727202000.0,727000000.0,698500000.0,698000000.0,521953000.0,522000000.0,504809000.0,0.0
Total liabilities,788793000.0,789192000.0,789000000.0,848662000.0,849000000.0,803334000.0,803000000.0,779012000.0,779000000.0,613358000.0,613000000.0,648279000.0,0.0
Other comprehensive income,315607000,309642000,-0000000.0,304537000,-0000000.0,305175000,-1000000.0,301824000,-0000000.0,298189000,-0000000.0,296828000,0.0
Retained earnings (deficit),161487000.0,303001000.0,303000000.0,294441000.0,294000000.0,321121000.0,321000000.0,294197000.0,294000000.0,261509000.0,262000000.0,202553000.0,0.0
Total shareholders equity,473433000.0,612654000.0,613000000.0,599778000.0,600000000.0,626998000.0,627000000.0,597068000.0,597000000.0,559965000.0,560000000.0,499615000.0,0.0
Investments,-457558000.0,461538000.0,3000000.0,-63354000.0,4000000.0,299859000.0,18000000.0,200729000.0,18000000.0,100601000.0,15000000.0,65286000.0,0.0
Net Debt,448866000.0,222117000.0,607000000,73500000.0,628000000,646036000.0,556000000,441460000.0,537000000,507092000.0,378000000,499206000.0,0.0
Other Assets,0.0,0.0,18000000,0.0,19000000,0.0,8000000,0.0,14000000,0.0,19000000,0.0,0.0
Other Liabilities,129235000.0,498494000.0,34000000,497247000.0,26000000,0.0,26000000,0.0,34000000,0.0,16000000,0.0,0.0
