date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8576000000.0,7185000000.0,7911000000.0,6035000000.0,6967000000.0,6873000000.0,7493000000.0,8576000000.0,8800000000.0,8591000000.0,7259000000.0,6342000000.0,6890000000.0,6026000000.0
,depreciationAndAmortization,981000000.0,964000000.0,989000000.0,875000000.0,743000000.0,754000000.0,889000000.0,882000000.0,898000000.0,993000000.0,932000000.0,853000000.0,842000000.0,748000000.0
,deferredIncomeTax,-143000000.0,-141000000.0,-100000000.0,-501000000.0,182000000.0,-18000000.0,-62000000.0,-28000000.0,-248000000.0,15000000.0,101000000.0,129000000.0,5000000.0,-21000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,196000000.0,-570000000.0,-3381000000.0,4491000000.0,723000000.0,46000000.0,586000000.0,212000000.0,-491000000.0,-887000000.0,-2552000000.0,-1291000000.0,-1706000000.0,-1547000000.0
,accountsReceivables,26000000.0,-331000000.0,53000000.0,-92000000.0,-1009000000.0,647000000.0,-463000000.0,-449000000.0,-398000000.0,0.0,0.0,0.0,0.0,0.0
,inventory,-165000000.0,-548000000.0,-613000000.0,730000000.0,-695000000.0,-841000000.0,105000000.0,-1413000000.0,-728000000.0,-36000000.0,1071000000.0,660000000.0,-914000000.0,-1264000000.0
,accountsPayables,406000000.0,451000000.0,-51000000.0,425000000.0,373000000.0,310000000.0,177000000.0,103000000.0,10000000.0,199000000.0,-72000000.0,-116000000.0,-90000000.0,38000000.0
,otherWorkingCapital,1877000000.0,1681000000.0,2251000000.0,5632000000.0,1141000000.0,418000000.0,372000000.0,-214000000.0,-426000000.0,65000000.0,952000000.0,3504000000.0,4795000000.0,6501000000.0
,otherNonCashItems,0.0,413000000.0,139000000.0,328000000.0,-4000000.0,195000000.0,-3000000.0,353000000.0,252000000.0,332000000.0,112000000.0,248000000.0,224000000.0,180000000.0
,netCashProvidedByOperatingActivites,9812000000.0,10090000000.0,9478000000.0,8912000000.0,8077000000.0,7865000000.0,7739000000.0,10135000000.0,9421000000.0,10529000000.0,9437000000.0,7884000000.0,7935000000.0,5589000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-602000000.0,-852000000.0,-1436000000.0,-1548000000.0,-1172000000.0,-960000000.0,-1153000000.0,-1200000000.0,-1056000000.0,-897000000.0,-713000000.0,-715000000.0,-1099000000.0,-1072000000.0
,acquisitionsNet,0.0,-1346000000.0,0.0,0.0,0.0,0.0,-110000000.0,0.0,0.0,-80000000.0,-83000000.0,-429000000.0,-1663000000.0,-1432000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,418000000.0,501000000.0,-1355000000.0,245000000.0,307000000.0,296000000.0,-62000000.0,64000000.0,-55000000.0,86000000.0,46000000.0,-399000000.0,-82000000.0
,netCashUsedForInvestingActivites,-1154000000.0,-1811000000.0,-998000000.0,-3014000000.0,-968000000.0,-708000000.0,-996000000.0,-2680000000.0,-992000000.0,-1032000000.0,-710000000.0,-1098000000.0,-3161000000.0,-2586000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-5351000000.0,-2484000000.0,-4312000000.0,-2405000000.0,-1495000000.0,-3327000000.0,-4686000000.0,-3457000000.0,-2630000000.0,-183000000.0,-101000000.0,-5736000000.0,-3381000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,75000000.0,229000000.0,177000000.0,118000000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-48000000.0,-3833000000.0,-5963000000.0,-6525000000.0,-5372000000.0,-5030000000.0,-5625000000.0,-5256000000.0,0.0
,dividendsPaid,0.0,-7161000000.0,-6885000000.0,-6520000000.0,-6378000000.0,-6250000000.0,-6035000000.0,-5720000000.0,-5404000000.0,-4788000000.0,-4423000000.0,-4327000000.0,-5079000000.0,-6560000000.0
,otherFinancingActivites,0.0,-357000000.0,-537000000.0,-421000000.0,-166000000.0,1518000000.0,-242000000.0,-1027000000.0,-349000000.0,-311000000.0,-292000000.0,-268000000.0,332000000.0,25000000.0
,netCashUsedProvidedByFinancingActivities,-8496000000.0,-8061000000.0,-9651000000.0,-2769000000.0,-5413000000.0,-4736000000.0,-6839000000.0,-8215000000.0,-8100000000.0,-8338000000.0,-8578000000.0,-6911000000.0,-4178000000.0,-3369000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
