date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-12-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-49391089.0,-29306769.0,-39006782.0,-25538980.0,-19437252.0,-13571997.0,-9316360.0,-8155880.0,-7194792.0,-4915295.0,0.0,-6979813.0,-6559623.0,-1900000.0,-1533871.0,-1927061.0,9671805.0,-5008000.0,-28154062.0,-13532000.0,-15935900.0,-19464723.0,-11418213.0,-9300000.0,-7400000.0,-7900000.0,-3400000.0,-2200000.0,-2540000.0,-2280000.0
,depreciationAndAmortization,3606996.0,2944516.0,3098916.0,3063553.0,2534628.0,990290.0,888370.0,296123.0,0.0,0.0,0.0,14648.0,21948.0,20000.0,0.0,0.0,317336.0,943000.0,579144.0,563000.0,809672.0,889316.0,800821.0,400000.0,0.0,0.0,0.0,600000.0,40000.0,30000.0
,deferredIncomeTax,0.0,0.0,-372472.0,-343554.0,-4586965.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,4420172.0,5867713.0,6535295.0,6058083.0,4758210.0,2510963.0,625518000.0,596093.0,164507.0,171633.0,0.0,100214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,5126143.0,-10563590.0,1556586.0,14214652.0,-2944498.0,843653.0,-1923752.0,6811850.0,-1474309.0,-2853629.0,1579666.0,2709077.0,-2688743.0,-1506819.0,-1791185.0,-1691043.0,8050047.0,-8921094.0,-4732906.0,-13117749.0,13462614.0,-5486234.0,3334369.0,2900000.0,-1000000.0,3600000.0,1700000.0,5120000.0,-2590000.0,-40000.0
,accountsReceivables,737932.0,-745149.0,-421013.0,-87628.0,-363000.0,0.0,0.0,0.0,0.0,0.0,0.0,5555.0,130728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-3415332.0,24763.0,-4980257.0,-882491.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,225587.0,29893.0,0.0,0.0,0.0,257197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-726708.0,574510.0,846123.0,587152.0,-1706949.0,-289218.0,115994000.0,-1760901.0,411207.0,757515.0,0.0,-297113.0,370666.0,-900000.0,71804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240000.0,0.0
,otherWorkingCapital,34399.0,3666963.0,14230553.0,12673967.0,-1540685.0,1403813.0,560160.0,2483912.0,-4327938.0,-2853629.0,0.0,-1579666.0,-4288743.0,-1600000.0,-93181.0,1698004.0,3389047.0,-4661000.0,4260094.0,8993000.0,22110749.0,8648135.0,14134369.0,10800000.0,7900000.0,8900000.0,5300000.0,3600000.0,-1520000.0,1070000.0
,otherNonCashItems,843669.0,18460.0,0.0,960230.0,0.0,0.0,1855490.0,7421795.0,2093229.0,-4857825.0,0.0,1781735.0,3172363.0,240000.0,243875.0,231318.0,-13031713.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,200000.0,100000.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,-20901360.0,-19885668.0,-32657549.0,-15132575.0,-21160267.0,-10335578.0,-6412220.0,-6780120.0,-2559009.0,-3345859.0,0.0,-4347277.0,-1998637.0,-4990000.0,-1197490.0,-1937218.0,-5042484.0,-16729000.0,-13600923.0,-12507000.0,1605726.0,-13009635.0,-9183317.0,-9600000.0,-7200000.0,-3500000.0,-3300000.0,-2700000.0,-1160000.0,-2190000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-696214.0,-2866418.0,-3535364.0,-2063221.0,-121103.0,0.0,-10000000.0,-97100.0,0.0,0.0,0.0,0.0,-4889.0,0.0,0.0,0.0,0.0,0.0,-203988.0,-362000.0,-733175.0,-232018.0,-201106.0,-700000.0,-2800000.0,0.0,0.0,0.0,0.0,-10000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11019000.0,0.0,-16789905.0,-10575000.0,-19900000.0,-5000000.0,-18900000.0,-9600000.0,-1500000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11189.0,-11000.0,3686919.0,9334000.0,8706769.0,12480239.0,20049557.0,17500000.0,11400000.0,6300000.0,3800000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,5358336.0,0.0,0.0,-500000.0,0.0,9000000.0,227000.0,0.0,0.0,0.0,81488.0,0.0,-100000.0,-100000.0,-100000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-946214.0,-2866418.0,-3535364.0,-2087958.0,260748.0,0.0,0.0,-10000000.0,0.0,0.0,0.0,5508336.0,60225.0,5770000.0,-500000.0,0.0,10156668.0,113000.0,3178965.0,-1997000.0,8160931.0,-4602652.0,8904451.0,-3200000.0,3500000.0,-12700000.0,-5800000.0,-1500000.0,1050000.0,2160000.0
