date,,2020-07-31_FY,2019-07-31_FY,2018-07-31_FY,2017-07-31_FY,2016-07-31_FY,2015-07-31_FY,2014-07-31_FY,2013-07-31_FY,2012-07-31_FY,2011-07-31_FY,2010-07-31_FY,2009-07-31_FY,2008-07-31_FY,2007-07-31_FY,2006-07-31_FY,2005-07-31_FY,2004-07-31_FY,2003-07-31_FY,2002-07-31_FY,2001-07-31_FY,2000-07-31_FY,1999-07-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1826000000.0,1557000000.0,1211000000.0,971000000.0,979000000.0,365000000.0,907000000.0,858000000.0,792000000.0,634000000.0,574000000.0,447041000.0,476762000.0,440003000.0,416963000.0,381627000.0,317030000.0,343034000.0,140160000.0,-82793000.0,305661000.0,376500000.0,-12200000.0,68300000.0,-20700000.0
,depreciationAndAmortization,218000000.0,225000000.0,253000000.0,236000000.0,238000000.0,231000000.0,197000000.0,232000000.0,242000000.0,241000000.0,256000000.0,274673000.0,216463000.0,138730000.0,117008000.0,134466000.0,115723000.0,92963000.0,74844000.0,325624000.0,213204000.0,141300000.0,53200000.0,58700000.0,68400000.0
,deferredIncomeTax,-179000000.0,-7000000.0,51000000.0,8000000.0,129000000.0,-15000000.0,175000000.0,82000000.0,9000000.0,112000000.0,-33000000.0,40748000.0,60550000.0,-39200000.0,-18943000.0,18460000.0,51695000.0,22541000.0,-24705000.0,-76682000.0,-140368000.0,-25100000.0,-39200000.0,-14500000.0,0.0
,stockBasedCompensation,435000000.0,401000000.0,382000000.0,326000000.0,281000000.0,257000000.0,204000000.0,195000000.0,169000000.0,153000000.0,135000000.0,132778000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2823000000.0,1340000000.0,817000000.0,108000000.0,-1453000000.0,-384000000.0,84000000.0,858000000.0,-191000000.0,-625000000.0,189967000.0,577709000.0,-485499000.0,-9233000.0,190121000.0,-48241000.0,-213529000.0,-390011000.0,-97244000.0,38003000.0,517257000.0,199300000.0,362200000.0,73500000.0,5700000.0
,accountsReceivables,-59000000.0,11000000.0,5000000.0,5000000.0,-20000000.0,24000000.0,-5000000.0,12000000.0,-10000000.0,-36000000.0,2000000.0,-17693000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200000.0,-1000000.0,1400000.0,2100000.0
,accountsPayables,33000000.0,90000000.0,12000000.0,0.0,-23000000.0,35000000.0,15000000.0,4000000.0,19000000.0,-24000000.0,40000000.0,-6855000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,4451000000.0,1628000000.0,288000000.0,-529000000.0,-637000000.0,816000000.0,1200000000.0,1116000000.0,258000000.0,449000000.0,1074000000.0,884033000.0,306324000.0,791823000.0,801056000.0,610935000.0,659176000.0,872705000.0,1262716000.0,1359960000.0,1321957000.0,804700000.0,605400000.0,243200000.0,169700000.0
,otherNonCashItems,-18000000.0,15000000.0,6000000.0,13000000.0,17000000.0,4000000.0,24000000.0,19000000.0,11000000.0,19000000.0,23000000.0,13467000.0,130746000.0,102482000.0,102336000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,100000.0
,netCashProvidedByOperatingActivites,2414000000.0,2324000000.0,2112000000.0,1599000000.0,1401000000.0,1504000000.0,1446000000.0,1366000000.0,1246000000.0,1013000000.0,998000000.0,812364000.0,830190000.0,726760000.0,609550000.0,597704000.0,574575000.0,569436000.0,577230000.0,233213000.0,6064000.0,73200000.0,68300000.0,81100000.0,61500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-59000000.0,-76000000.0,-38000000.0,-102000000.0,-416000000.0,-142000000.0,-104000000.0,-129000000.0,-135000000.0,-114000000.0,-74000000.0,-130896000.0,-306127000.0,-153257000.0,-82074000.0,-38185000.0,-52260000.0,-50399000.0,-42559000.0,-77102000.0,-94944000.0,-544200000.0,-383900000.0,-27600000.0,-69300000.0
,acquisitionsNet,0.0,-64000000.0,-363000000.0,0.0,463000000.0,-95000000.0,554000000.0,43000000.0,-392000000.0,0.0,-96000000.0,-161000000.0,-159000000.0,-1252000000.0,153000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-701000000.0,-752000000.0,-407000000.0,-352000000.0,-934000000.0,-939000000.0,-1334000000.0,-869000000.0,-669000000.0,-1257000000.0,-3029000000.0,-550464000.0,-934335000.0,-2466642000.0,-1636765000.0,-2937586000.0,-3554863000.0,-2302536000.0,-2849548000.0,-3172509000.0,-41987000.0,-78500000.0,-310300000.0,-258900000.0,-197000000.0
,salesMaturitiesOfInvestments,726000000.0,387000000.0,414000000.0,542000000.0,1352000000.0,1095000000.0,939000000.0,561000000.0,1018000000.0,1954000000.0,2134000000.0,483761000.0,1282216000.0,2527330000.0,1535912000.0,3012195000.0,3490533000.0,2115590000.0,3175691000.0,3134666000.0,2028381000.0,810000000.0,213200000.0,244800000.0,165000000.0
,otherInvestingActivites,15000000.0,18000000.0,-52000000.0,-45000000.0,12000000.0,18000000.0,-7000000.0,-11000000.0,14000000.0,28000000.0,137000000.0,4071000.0,39574000.0,-103038000.0,-11034000.0,-36796000.0,29135000.0,-34467000.0,-30875000.0,0.0,-19270000.0,-6900000.0,-1200000.0,-76300000.0,-1600000.0
,netCashUsedForInvestingActivites,-97000000.0,-566000000.0,-532000000.0,-85000000.0,371000000.0,-182000000.0,-49000000.0,-485000000.0,-225000000.0,497000000.0,-997000000.0,-432441000.0,-86805000.0,-1392627000.0,-38164000.0,8061000.0,-211005000.0,-486619000.0,-25556000.0,-283314000.0,-202680000.0,180400000.0,-473200000.0,-118000000.0,-102900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
