Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,157935155.0,187127442.0,314040090.0,319129134.0,317811056.0,98729639.0,71090266.0
Short-term investments,2466814.0,3077412.0,2181354.0,0.0,0.0,0.0,0.0
Cash and short-term investments,160401969.0,190204854.0,316221444.0,319129134.0,317811056.0,98729639.0,71090266.0
Receivables,109391700.0,83272940.0,77409292.0,114000386.0,119742620.0,90787850.0,86651598.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,280550991.0,284833003.0,406386446.0,454010187.0,480766424.0,222787902.0,178967906.0
Property Plant & Equipment Net,14058327.0,14240120.0,7923027.0,6800614.0,7158780.0,7027702.0,8686253.0
Goodwill and Intangible Assets,57401177.0,70631146.0,117391674.0,130544071.0,145981883.0,169140760.0,203420454.0
Long-term investments,62979.0,145727.0,408851.0,668938.0,272850.0,251606.0,73552.0
Tax assets,62356063.0,67083641.0,41698296.0,32769692.0,29857574.0,27714132.0,17317179.0
Total non-current assets,136176035.0,154111346.0,169480481.0,172828178.0,157499110.0,180150343.0,214899383.0
Total assets,416727026.0,438944349.0,575866927.0,626838365.0,638265534.0,402938245.0,393867289.0
Payables,4280468.0,6042595.0,3154969.0,10541147.0,5660143.0,5924327.0,84861093.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,160381188.0,163890622.0,150638076.0,179607353.0,197300798.0,123584319.0,159660787.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,26872685.0,10564818.0,5058212.0,5703085.0,5054408.0,7162807.0,3346071.0
Tax Liabilities,85484833.0,93050484.0,101695160.0,121742901.0,111092200.0,87514658.0,63503559.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,14779770.0,18016186.0,18869374.0,22997731.0,26041591.0,27563891.0,40927396.0
Total liabilities,175160958.0,181906808.0,169507450.0,202605084.0,223342389.0,151148210.0,200588183.0
Other comprehensive income,-19848006.0,-13077311.0,-22321234.0,-5521547.0,5029663.0,5621576.0,3064865.0
Retained earnings (deficit),-528824801.0,-515344274.0,-354364813.0,-343658094.0,-377876220.0,-443294132.0,-485712966.0
Total shareholders equity,244089492.0,260302871.0,408468711.0,424712255.0,414845343.0,248705937.0,190173395.0
Investments,2529793.0,3223139.0,2590205.0,668938.0,272850.0,251606.0,73552.0
Net Debt,-160401969.0,,,,,,
Other Assets,10757331.0,,,,,,
Other Liabilities,156100720.0,157848027.0,147483107.0,169066206.0,191640655.0,117659992.0,74799694.0
