date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-02-18_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1324000000.0,769000000.0,437000000.0,1034000000.0,814000000.0,848000000.0,605000000.0,508000000.0,316000000.0,244500000.0,251100000.0,35000000.0,121600000.0,-135900000.0,125000000.0,-52600000.0,-5900000.0,-15300000.0,13500000.0,-118600000.0,-39500000.0,-70300000.0,134200000.0,124400000.0,72400000.0,38000000.0,17300000.0,22531000.0,-30900000.0,-84900000.0,10300000.0,17200000.0,42900000.0
,depreciationAndAmortization,420000000.0,423000000.0,398000000.0,372000000.0,363000000.0,320000000.0,294000000.0,270000000.0,264000000.0,246900000.0,230500000.0,219000000.0,219200000.0,204600000.0,177400000.0,157500000.0,143400000.0,205200000.0,202200000.0,194700000.0,205100000.0,170800000.0,134900000.0,116200000.0,103400000.0,102100000.0,92600000.0,77545000.0,-58400000.0,-56800000.0,-51800000.0,-60600000.0,-46200000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145300000.0,84000000.0,84100000.0,0.0,0.0,-34000000.0,51600000.0,-2500000.0,4400000.0,30700000.0,15000000.0,11600000.0,44800000.0,26900000.0,22800000.0,8500000.0,12400000.0,7587000.0,-8100000.0,-25800000.0,700000.0,900000.0,-2100000.0
,stockBasedCompensation,24000000.0,29000000.0,47000000.0,55000000.0,26000000.0,25000000.0,6000000.0,32000000.0,10000000.0,16500000.0,13700000.0,11000000.0,11900000.0,13400000.0,0.0,8200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-201000000.0,-9000000.0,-601000000.0,-69000000.0,-342000000.0,-228000000.0,-97000000.0,-54000000.0,150100000.0,-151400000.0,-138700000.0,0.0,227700000.0,146000000.0,-333300000.0,-39100000.0,89700000.0,154100000.0,-67500000.0,54200000.0,49300000.0,131700000.0,-39700000.0,51600000.0,136900000.0,-79200000.0,40704000.0,-85804000.0,23900000.0,-60500000.0,103600000.0,-137800000.0,21400000.0
,accountsReceivables,-160000000.0,43000000.0,-25000000.0,-39000000.0,-46000000.0,47000000.0,-110000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,-10000000.0,-24800000.0,21300000.0,4800000.0,-44400000.0,3100000.0,-7500000.0,-4000000.0,2000000.0,-2900000.0,18800000.0,-18500000.0,5200000.0,9100000.0,-23100000.0,4100000.0,-6200000.0,-6700000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-214000000.0,-1164000000.0,-1155000000.0,-554000000.0,-485000000.0,-143000000.0,85000000.0,182000000.0,236000000.0,85900000.0,237300000.0,376000000.0,376000000.0,148300000.0,2300000.0,335600000.0,374700000.0,285000000.0,130900000.0,198400000.0,144200000.0,94900000.0,-36800000.0,2900000.0,-48700000.0,-185600000.0,-106400000.0,-147104000.0,-61300000.0,-85200000.0,-24700000.0,-128300000.0,9500000.0
,otherNonCashItems,220000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-192000000.0,0.0,38900000.0,-14300000.0,0.0,-72100000.0,0.0,173000000.0,361400000.0,-36100000.0,2500000.0,0.0,0.0,5100000.0,-62400000.0,22800000.0,43800000.0,16400000.0,80400000.0,0.0,182000.0,146200000.0,147900000.0,137400000.0,121300000.0,92500000.0
,netCashProvidedByOperatingActivites,-234000000.0,1722000000.0,1195000000.0,1590000000.0,1386000000.0,1584000000.0,1030000000.0,981000000.0,753000000.0,696000000.0,553700000.0,305000000.0,305300000.0,164300000.0,482000000.0,449800000.0,271900000.0,334000000.0,355200000.0,124500000.0,278300000.0,265000000.0,330100000.0,310200000.0,205200000.0,222900000.0,125500000.0,144133000.0,48500000.0,20200000.0,82500000.0,103200000.0,107600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-206000000.0,-696000000.0,-960000000.0,-1026000000.0,-678000000.0,-831000000.0,-694000000.0,-566000000.0,-574000000.0,-387400000.0,-183000000.0,-40000000.0,-438400000.0,-412800000.0,-834400000.0,-682100000.0,-431000000.0,-199100000.0,-369200000.0,-200900000.0,-383500000.0,-448600000.0,-565000000.0,-613400000.0,-439000000.0,-269800000.0,-103300000.0,-188628000.0,-29600000.0,-277900000.0,-144100000.0,-196300000.0,-109000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-1951000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2962000000.0,-1810000000.0,-834000000.0,-1569000000.0,-960000000.0,-1327000000.0,-949000000.0,-1218000000.0,-1130000000.0,-883500000.0,-1022000000.0,-942000000.0,-942600000.0,-766000000.0,-1149300000.0,-806500000.0,-1184500000.0,-961300000.0,-942900000.0,-630800000.0,-234400000.0,-464100000.0,-137800000.0,-323400000.0,-443600000.0,-53500000.0,-169400000.0,-76129000.0,-552200000.0,-3000000.0,-79400000.0,-17100000.0,-56900000.0
