date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,348000000.0,413000000.0,443000000.0,519000000.0,485000000.0,402000000.0,355000000.0,396000000.0,428000000.0,416000000.0,169000000.0,41000000.0,267000000.0,198000000.0,124000000.0,90000000.0,94000000.0,76000000.0,63000000.0,57000000.0,48000000.0,77000000.0,43000000.0,-75000000.0
,depreciationAndAmortization,213000000.0,220000000.0,247000000.0,209000000.0,196000000.0,194000000.0,195000000.0,194000000.0,211000000.0,211000000.0,155000000.0,130000000.0,128000000.0,125000000.0,114000000.0,106000000.0,102000000.0,101000000.0,103000000.0,127000000.0,135000000.0,122000000.0,95000000.0,103000000.0
,deferredIncomeTax,-7000000.0,3000000.0,-23000000.0,67000000.0,-5000000.0,-6000000.0,-11000000.0,30000000.0,-3000000.0,18000000.0,-30000000.0,0.0,12000000.0,7000000.0,-6000000.0,-16000000.0,-9000000.0,4000000.0,-6000000.0,2000000.0,15000000.0,7000000.0,10000000.0,10000000.0
,stockBasedCompensation,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4000000.0,1000000.0,-266000000.0,184000000.0,66000000.0,-215000000.0,29000000.0,-33000000.0,251000000.0,314000000.0,382000000.0,42000000.0,23000000.0,95000000.0,59000000.0,62000000.0,46000000.0,15000000.0,258000000.0,-189000000.0,-47000000.0,56000000.0,133000000.0,54000000.0
,accountsReceivables,-3000000.0,-61000000.0,-70000000.0,-44000000.0,-131000000.0,-29000000.0,-15000000.0,-69000000.0,22000000.0,-134000000.0,-45000000.0,-3000000.0,-43000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-14000000.0,-43000000.0,-50000000.0,-34000000.0,-19000000.0,9000000.0,-6000000.0,76000000.0,-69000000.0,-149000000.0,-51000000.0,82000000.0,-91000000.0,-86000000.0,-57000000.0,5000000.0,-34000000.0,-11000000.0,-6000000.0,20000000.0,-12000000.0,-28000000.0,-32000000.0,34000000.0
,accountsPayables,124000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1189000000.0,1193000000.0,1192000000.0,1458000000.0,1274000000.0,1208000000.0,1423000000.0,1394000000.0,1427000000.0,1176000000.0,862000000.0,480000000.0,438000000.0,415000000.0,320000000.0,261000000.0,199000000.0,153000000.0,138000000.0,-120000000.0,69000000.0,116000000.0,60000000.0,-73000000.0
,otherNonCashItems,119000000.0,87000000.0,143000000.0,82000000.0,92000000.0,110000000.0,67000000.0,49000000.0,33000000.0,12000000.0,21000000.0,141000000.0,-24000000.0,1000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,829000000.0,680000000.0,703000000.0,769000000.0,771000000.0,686000000.0,731000000.0,619000000.0,732000000.0,300000000.0,394000000.0,586000000.0,-79000000.0,258000000.0,230000000.0,245000000.0,166000000.0,236000000.0,206000000.0,171000000.0,212000000.0,198000000.0,90000000.0,215000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177000000.0,-171000000.0,-143000000.0,-104000000.0,-83000000.0,-78000000.0,-94000000.0,-143000000.0,-280000000.0,-122000000.0,-116000000.0
,acquisitionsNet,-236000000.0,-42000000.0,0.0,-17000000.0,-407000000.0,-434000000.0,0.0,0.0,0.0,-15000000.0,-1272000000.0,-4000000.0,0.0,-59000000.0,-42000000.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-3000000.0,0.0,0.0,-34000000.0,0.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,11000000.0,3000000.0,1000000.0,0.0,1000000.0,27000000.0,11000000.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,1000000.0,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,0.0,-4000000.0,0.0,1000000.0,0.0,0.0,1000000.0,0.0,46000000.0,0.0,0.0,0.0,60000000.0,-21000000.0
,netCashUsedForInvestingActivites,-571000000.0,-374000000.0,-361000000.0,-326000000.0,-689000000.0,-649000000.0,-294000000.0,-274000000.0,-322000000.0,-273000000.0,-1428000000.0,-145000000.0,-219000000.0,-232000000.0,-210000000.0,-141000000.0,-149000000.0,-130000000.0,-73000000.0,-171000000.0,-262000000.0,-271000000.0,-60000000.0,-133000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1224000000.0,-1465000000.0,-738000000.0,-1240000000.0,-874000000.0,-1366000000.0,-213000000.0,-53000000.0,-462000000.0,-22000000.0,-77000000.0,-340000000.0,-56000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,4000000.0,63000000.0,1000000.0,9000000.0,29000000.0,21000000.0,20000000.0,14000000.0,34000000.0,18000000.0,22000000.0,4000000.0,11000000.0,16000000.0,21000000.0,0.0,30000000.0,5000000.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0
